feature,raw_predictive_drop,predictive_utility,raw_shap_mean_abs,raw_shap_cv,shap_stability,evidence_relevance,clinical_utility,label_derived_risk,definitional_overlap,target_proxy_strength,semantic_risk_max,available_at_prediction,interpretation,leakage_risk,theta_l_mean,audit_score,pre_score,uncertainty_width,pseul_category,semantic_veto,admissible_for_selection,select_score,selection_order,selected,rejection_reason
DIAGNOSIS_HYPERTENSION,0.007533120183056505,0.03270571377884651,0.08552499468315096,0.1001370265154989,0.8998629734845011,0.85,0.8000000000000002,0.0,0.0,0.1,0.1,True,Clinically meaningful diagnosis for adherence support.,0.0623503296678,0.5,0.6022843088305542,0.5948062073330939,0.0001844498323469881,Clinically Actionable Feature,False,True,0.5948062073330939,1.0,True,
COMPLICATIONDEVELOPMENT_NO_COMPLICATION,0.017296312489035414,0.07514022362516531,0.16990041331404696,0.05941510564816847,0.9405848943518316,0.8,0.7333333333333334,0.05,0.15,0.25,0.25,True,"Clinical status, but temporality must be verified.",0.15061002467123746,0.5,0.5939923792912493,0.5764427812913201,0.0012916731970461948,Clinically Actionable Feature,False,True,0.5704657460413012,2.0,True,
COMORBIDITY_NO_COMORBIDITY,0.0005406873321337861,0.002313967783994633,0.027461353305070147,0.039153550108811025,0.960846449891189,0.85,0.7999999999999999,0.0,0.0,0.1,0.1,True,Comorbidity status supports clinical risk stratification.,0.17242964341618192,0.5,0.6053634803134361,0.5833169429133398,0.0004015658359079243,Clinically Actionable Feature,False,True,0.5353677805841676,3.0,True,
AGE,0.006185056875169577,0.02684652306343293,0.2032624280218045,0.1450096586271684,0.8549903413728316,0.9,0.75,0.0,0.0,0.05,0.05,True,Demographic risk stratifier available before prediction.,0.2624989434544871,0.5,0.5915520251935962,0.5412119993842789,5.8190295872168015e-09,Clinically Actionable Feature,False,True,0.5183520425731335,4.0,True,
ANNUALCLAIMAMOUNT,0.0759619836544604,0.33012331959323377,0.7360496577663459,0.11574695648472283,0.8842530435152771,0.725,0.5333333333333333,0.15,0.3,0.75,0.75,True,Claims-utilization proxy with strong leakage risk.,0.30888624786288527,0.5,0.5904709379143589,0.5140892421668649,0.008443732591897499,Domain-Supportive Feature,False,True,0.5065734765385127,5.0,True,
UNITSTOTAL,0.2300840046528846,0.9999956536234751,2.0303608446183765,0.012026912178511729,0.9879730878214883,0.825,0.6000000000000001,0.2,0.4,0.9,0.9,True,Dispensed-unit proxy close to refill/PDC behavior.,0.3768315540872769,0.5,0.8538433136513403,0.660943988696324,0.004398196756431234,Domain-Supportive Feature,True,False,0.569918635902032,,False,semantic-veto
ANNUALCONTRIBUTION,0.000916422493783727,0.00394705427015127,0.051824589963149335,0.21734562298723878,0.7826543770127612,0.55,0.5499999999999999,0.05,0.05,0.3,0.3,True,Affordability and insurance context; not direct adherence evidence.,0.14554666773878577,0.5,0.4327149916835976,0.42056294216125406,0.0004072820677614075,Domain-Supportive Feature,False,True,0.3976800146916881,,False,not-in-final-subset
GENDER_M,0.00011033409126352349,0.0004434905604823034,0.060928806516589364,0.4321536738683357,0.5678463261316643,0.5,0.5333333333333333,0.0,0.0,0.05,0.05,True,"Subgroup descriptor; useful for stratification, not direct intervention.",0.04362563266737767,0.5,0.3720356457278109,0.3681979202284909,1.0512287250793596e-05,Domain-Supportive Feature,False,True,0.36483490986074224,,False,not-in-final-subset
COVERTYPE_STANDARD,0.0001620113287059392,0.0006680992921712029,0.016559325110949107,0.12807795669174774,0.5,0.45,0.5,0.05,0.05,0.25,0.25,True,Administrative coverage context.,0.09557610621777568,0.5,0.33770042978765136,0.3318803509033286,0.00025888755855143564,Low-Value Feature,False,True,0.3128746392635674,,False,not-in-final-subset
SCHEMETYPE_MEDIUM,2.674032567046384e-05,8.016058008467885e-05,0.010385730156926986,0.37523643300579096,0.5,0.45,0.4833333333333334,0.05,0.05,0.25,0.25,True,Insurance plan proxy.,0.12887641087027024,0.5,0.3333573815073588,0.32538897897594293,0.0005302322453775597,Low-Value Feature,False,True,0.3062413638246855,,False,not-in-final-subset
SCHEMETYPE_PREMIUM,8.297243340541863e-06,0.0,0.005001279561893592,0.671595595023356,0.5,0.45,0.4833333333333334,0.05,0.05,0.25,0.25,True,Insurance plan proxy.,0.14303095689900572,0.5,0.33333333333333337,0.32419775225996084,0.0003337587082013798,Low-Value Feature,False,True,0.3021363084201165,,False,not-in-final-subset
