method,features,n_features,avg_leakage_risk,avg_clinical_utility,designated_traps_selected,designated_trap_fraction,prediction_unavailable_selected
All Features,"[""AGE"", ""ANNUALCONTRIBUTION"", ""ANNUALCLAIMAMOUNT"", ""UNITSTOTAL"", ""GENDER_M"", ""SCHEMETYPE_MEDIUM"", ""SCHEMETYPE_PREMIUM"", ""DIAGNOSIS_HYPERTENSION"", ""COVERTYPE_STANDARD"", ""COMORBIDITY_NO_COMORBIDITY"", ""COMPLICATIONDEVELOPMENT_NO_COMPLICATION""]",11,0.1718420470502803,0.6151515151515151,2,1.0,0
Mutual Information,"[""UNITSTOTAL"", ""ANNUALCLAIMAMOUNT"", ""AGE"", ""COMORBIDITY_NO_COMORBIDITY"", ""COMPLICATIONDEVELOPMENT_NO_COMPLICATION""]",5,0.2542512826984137,0.6833333333333333,2,1.0,0
LightGBM Gain,"[""ANNUALCLAIMAMOUNT"", ""UNITSTOTAL"", ""AGE"", ""ANNUALCONTRIBUTION"", ""DIAGNOSIS_HYPERTENSION""]",5,0.23122274856224703,0.6466666666666667,2,1.0,0
Permutation Importance,"[""UNITSTOTAL"", ""ANNUALCLAIMAMOUNT"", ""COMPLICATIONDEVELOPMENT_NO_COMPLICATION"", ""DIAGNOSIS_HYPERTENSION"", ""AGE""]",5,0.2322354199487373,0.6833333333333333,2,1.0,0
SHAP Ranking,"[""UNITSTOTAL"", ""ANNUALCLAIMAMOUNT"", ""AGE"", ""COMPLICATIONDEVELOPMENT_NO_COMPLICATION"", ""DIAGNOSIS_HYPERTENSION""]",5,0.23223541994873736,0.6833333333333333,2,1.0,0
Availability Gate + SHAP,"[""UNITSTOTAL"", ""ANNUALCLAIMAMOUNT"", ""AGE"", ""COMPLICATIONDEVELOPMENT_NO_COMPLICATION"", ""DIAGNOSIS_HYPERTENSION""]",5,0.23223541994873736,0.6833333333333333,2,1.0,0
Semantic Veto + SHAP,"[""ANNUALCLAIMAMOUNT"", ""AGE"", ""COMPLICATIONDEVELOPMENT_NO_COMPLICATION"", ""DIAGNOSIS_HYPERTENSION"", ""GENDER_M""]",5,0.16559423566475745,0.67,1,0.5,0
PSEUL-Select,"[""DIAGNOSIS_HYPERTENSION"", ""COMPLICATIONDEVELOPMENT_NO_COMPLICATION"", ""COMORBIDITY_NO_COMORBIDITY"", ""AGE"", ""ANNUALCLAIMAMOUNT""]",5,0.19135503781451832,0.7233333333333334,1,0.5,0
PSEUL-Audit,"[""UNITSTOTAL"", ""COMORBIDITY_NO_COMORBIDITY"", ""DIAGNOSIS_HYPERTENSION"", ""COMPLICATIONDEVELOPMENT_NO_COMPLICATION"", ""AGE""]",5,0.20494409905939664,0.7366666666666667,1,0.5,0
PSEUL-Auto (leakage metadata null),"[""UNITSTOTAL"", ""DIAGNOSIS_HYPERTENSION"", ""COMPLICATIONDEVELOPMENT_NO_COMPLICATION"", ""COMORBIDITY_NO_COMORBIDITY"", ""AGE""]",5,0.20494409905939664,0.7366666666666667,1,0.5,0
Oracle Trap Exclusion + SHAP,"[""AGE"", ""COMORBIDITY_NO_COMORBIDITY"", ""ANNUALCONTRIBUTION"", ""GENDER_M"", ""DIAGNOSIS_HYPERTENSION""]",5,0.13729024338892645,0.6866666666666666,0,0.0,0
