method,metric,estimate,ci_low,ci_high,bootstrap_replicates,inference_method
All Features,auc,0.9009334911145928,0.8967077588098699,0.9051592234193157,0,DeLong
All Features,mcc,0.6394807184371557,0.6286491138825778,0.6503071077894576,2000,stratified binomial bootstrap
Availability Gate + SHAP,auc,0.9003501377182175,0.8961065706039812,0.9045937048324537,0,DeLong
Availability Gate + SHAP,mcc,0.6404907248448686,0.6298220819438197,0.6509158521438391,2000,stratified binomial bootstrap
LightGBM Gain,auc,0.892005111152244,0.8875288330649697,0.8964813892395184,0,DeLong
LightGBM Gain,mcc,0.6359506941835887,0.6251425570830038,0.6461438934030355,2000,stratified binomial bootstrap
Mutual Information,auc,0.8913165116486927,0.8868353474615249,0.8957976758358606,0,DeLong
Mutual Information,mcc,0.6345392638278324,0.6242126782168386,0.644934760146757,2000,stratified binomial bootstrap
Oracle Trap Exclusion + SHAP,auc,0.6542712284983432,0.6465348614405009,0.6620075955561855,0,DeLong
Oracle Trap Exclusion + SHAP,mcc,0.19342538405110266,0.17956222321901177,0.2080612408529915,2000,stratified binomial bootstrap
PSEUL-Audit,auc,0.8996307521292588,0.8953697652205257,0.9038917390379919,0,DeLong
PSEUL-Audit,mcc,0.6410120283048851,0.6305858663419482,0.6513683144376357,2000,stratified binomial bootstrap
PSEUL-Auto (leakage metadata null),auc,0.9004622794147805,0.8962225073480871,0.904702051481474,0,DeLong
PSEUL-Auto (leakage metadata null),mcc,0.6414773721327526,0.6309898722930471,0.6520047451428337,2000,stratified binomial bootstrap
PSEUL-Select,auc,0.8365004249848804,0.8309979371695699,0.8420029128001909,0,DeLong
PSEUL-Select,mcc,0.5074145478422392,0.49569176320840647,0.519460848065342,2000,stratified binomial bootstrap
Permutation Importance,auc,0.9004622794147805,0.8962225073480871,0.904702051481474,0,DeLong
Permutation Importance,mcc,0.6414773721327526,0.6310611063357114,0.6530292828624404,2000,stratified binomial bootstrap
SHAP Ranking,auc,0.9003501377182175,0.8961065706039812,0.9045937048324537,0,DeLong
SHAP Ranking,mcc,0.6404907248448686,0.6301322463432001,0.650867437369691,2000,stratified binomial bootstrap
Semantic Veto + SHAP,auc,0.8368644660965079,0.8313711862552671,0.8423577459377487,0,DeLong
Semantic Veto + SHAP,mcc,0.5079930752781276,0.4959847954466051,0.5204465234936706,2000,stratified binomial bootstrap
