reference,comparator,metric,delta_reference_minus_comparator,ci_low,ci_high,probability_delta_gt_zero,two_sided_bootstrap_p,bootstrap_replicates,inference_method,holm_adjusted_p
PSEUL-Select,All Features,auc,-0.06443306612971234,-0.06850180984066152,-0.06036432241876315,8.08601165753502e-212,1.617202331507004e-211,0,paired DeLong,1.4554820983563037e-210
PSEUL-Select,All Features,mcc,-0.13223950992117828,-0.1434378725116491,-0.1206859386636451,0.0,0.0009995002498750624,2000,paired stratified multinomial bootstrap,0.009995002498750623
PSEUL-Select,Availability Gate + SHAP,auc,-0.06384971273333706,-0.06795397327193597,-0.05974545219473815,1.6842354512521567e-204,3.368470902504313e-204,0,paired DeLong,2.021082541502588e-203
PSEUL-Select,Availability Gate + SHAP,mcc,-0.1331596465253916,-0.14393496656770494,-0.12200287062527686,0.0,0.0009995002498750624,2000,paired stratified multinomial bootstrap,0.009995002498750623
PSEUL-Select,LightGBM Gain,auc,-0.05550468616736359,-0.05993785902341359,-0.0510715133113136,2.7787004855637312e-133,5.5574009711274624e-133,0,paired DeLong,1.6672202913382387e-132
PSEUL-Select,LightGBM Gain,mcc,-0.1285092605748016,-0.14020525672039202,-0.11693528406986875,0.0,0.0009995002498750624,2000,paired stratified multinomial bootstrap,0.009995002498750623
PSEUL-Select,Mutual Information,auc,-0.054816086663812325,-0.059304033725101846,-0.0503281396025228,5.933146835548728e-127,1.1866293671097457e-126,0,paired DeLong,2.3732587342194913e-126
PSEUL-Select,Mutual Information,mcc,-0.1274067719532263,-0.1387096174894459,-0.1155378222438748,0.0,0.0009995002498750624,2000,paired stratified multinomial bootstrap,0.009995002498750623
PSEUL-Select,Oracle Trap Exclusion + SHAP,auc,0.18222919648653724,0.17431979297685038,0.1901385999962241,1.0,0.0,0,paired DeLong,0.0
PSEUL-Select,Oracle Trap Exclusion + SHAP,mcc,0.3141294210321306,0.2980234127917874,0.33101774930164524,1.0,0.0009995002498750624,2000,paired stratified multinomial bootstrap,0.009995002498750623
PSEUL-Select,PSEUL-Audit,auc,-0.06313032714437838,-0.06723071068446082,-0.05902994360429595,2.405467596401327e-200,4.810935192802654e-200,0,paired DeLong,1.9243740771210616e-199
PSEUL-Select,PSEUL-Audit,mcc,-0.13351172460139424,-0.1456241513651391,-0.12209205767305198,0.0,0.0009995002498750624,2000,paired stratified multinomial bootstrap,0.009995002498750623
PSEUL-Select,PSEUL-Auto (leakage metadata null),auc,-0.0639618544299001,-0.06803652334250034,-0.05988718551729986,3.625181028667091e-208,7.250362057334182e-208,0,paired DeLong,5.8002896458673454e-207
PSEUL-Select,PSEUL-Auto (leakage metadata null),mcc,-0.13407064691088305,-0.1455710270606618,-0.12306541545329672,0.0,0.0009995002498750624,2000,paired stratified multinomial bootstrap,0.009995002498750623
PSEUL-Select,Permutation Importance,auc,-0.0639618544299001,-0.06803652334250034,-0.05988718551729986,3.625181028667091e-208,7.250362057334182e-208,0,paired DeLong,5.8002896458673454e-207
PSEUL-Select,Permutation Importance,mcc,-0.13387706874113428,-0.14489103825820973,-0.12283398605979713,0.0,0.0009995002498750624,2000,paired stratified multinomial bootstrap,0.009995002498750623
PSEUL-Select,SHAP Ranking,auc,-0.06384971273333706,-0.06795397327193597,-0.05974545219473815,1.6842354512521567e-204,3.368470902504313e-204,0,paired DeLong,2.021082541502588e-203
PSEUL-Select,SHAP Ranking,mcc,-0.1331940542678031,-0.1449700368934349,-0.1218091649498836,0.0,0.0009995002498750624,2000,paired stratified multinomial bootstrap,0.009995002498750623
PSEUL-Select,Semantic Veto + SHAP,auc,-0.00036404111162746666,-0.0016872746987422482,0.0009591924754873149,0.29486581968068204,0.5897316393613641,0,paired DeLong,0.5897316393613641
PSEUL-Select,Semantic Veto + SHAP,mcc,-0.0005089033883720768,-0.006272392679955124,0.0052862317288372,0.434,0.8685657171414293,2000,paired stratified multinomial bootstrap,0.8685657171414293
