study,fold,feature,raw_predictive_drop,predictive_utility,raw_shap_mean_abs,raw_shap_cv,shap_stability,evidence_relevance,clinical_utility,label_derived_risk,definitional_overlap,target_proxy_strength,semantic_risk_max,available_at_prediction,interpretation,leakage_risk,theta_l_mean,audit_score,pre_score,uncertainty_width,pseul_category,semantic_veto,admissible_for_selection,select_score,selection_order,selected,rejection_reason
adherence,1,DIAGNOSIS_HYPERTENSION,0.00856402004722742,0.03696513585865695,0.11317692103259532,0.019802700899366702,0.9801972991006332,0.85,0.8000000000000002,0.0,0.0,0.1,0.1,True,Clinically meaningful diagnosis for adherence support.,0.05761872368814041,0.5,0.6196290005777237,0.6122804345795783,0.0003975983835430689,Clinically Actionable Feature,False,True,0.6122804345795783,1.0,True,
adherence,1,COMPLICATIONDEVELOPMENT_NO_COMPLICATION,0.01620776743808528,0.06998161334009138,0.18844025861750524,0.06125334876190183,0.9387466512380982,0.8,0.7333333333333334,0.05,0.15,0.25,0.25,True,"Clinical status, but temporality must be verified.",0.148751366202148,0.5,0.5920771475829805,0.5748931549021578,0.0013302423625842546,Clinically Actionable Feature,False,True,0.5693782340941561,2.0,True,
adherence,1,AGE,0.006142501740953114,0.026505605926308663,0.20872774359539878,0.10754445922897016,0.8924555407710298,0.9,0.75,0.0,0.0,0.05,0.05,True,Demographic risk stratifier available before prediction.,0.2624989278021031,0.5,0.5989427899320986,0.5479738304802111,1.1513609588308599e-08,Clinically Actionable Feature,False,True,0.5408200338977108,3.0,True,
adherence,1,ANNUALCLAIMAMOUNT,0.07635944468503626,0.32980135825601803,0.7013699252904623,0.08467763354356307,0.9153223664564369,0.725,0.5333333333333333,0.15,0.3,0.75,0.75,True,Claims-utilization proxy with strong leakage risk.,0.3153027279091501,0.5,0.5965882141014262,0.5140984221801075,0.018203364873333606,Domain-Supportive Feature,False,True,0.5057909726398658,4.0,True,
adherence,1,COMORBIDITY_NO_COMORBIDITY,0.0010596403183709211,0.004550644423963348,0.03455543524641295,0.3419829747532102,0.6580170252467898,0.85,0.7999999999999999,0.0,0.0,0.1,0.1,True,Comorbidity status supports clinical risk stratification.,0.16980324177817718,0.5,0.5454685983765469,0.5261016824875149,0.00019487796534328565,Clinically Actionable Feature,False,True,0.4777773989062335,5.0,True,
adherence,1,UNITSTOTAL,0.23151821671303874,0.9999956805901878,2.0825787151814055,0.017340927652971374,0.9826590723470287,0.825,0.6000000000000001,0.2,0.4,0.9,0.9,True,Dispensed-unit proxy close to refill/PDC behavior.,0.39003814441939116,0.5,0.852780518646462,0.6380942743585919,0.03839252186845192,Domain-Supportive Feature,True,False,0.5475381147782591,,False,semantic-veto
adherence,1,GENDER_M,0.0005178292876512354,0.0022103405415581463,0.056985790437524164,0.1494889294456085,0.8505110705543915,0.5,0.5333333333333333,0.0,0.0,0.05,0.05,True,"Subgroup descriptor; useful for stratification, not direct intervention.",0.04227967561626378,0.5,0.4290986496066791,0.4247204057165194,0.0003400735807567481,Domain-Supportive Feature,False,True,0.421658424049782,,False,not-in-final-subset
adherence,1,ANNUALCONTRIBUTION,0.0006637952869448386,0.0028408275111427668,0.051044892050356706,0.15670291671059283,0.8432970832894071,0.55,0.5499999999999999,0.05,0.05,0.3,0.3,True,Affordability and insurance context; not direct adherence evidence.,0.13693421499562028,0.5,0.4445116649112242,0.4330360540262555,0.000143665805878068,Domain-Supportive Feature,False,True,0.4100366403528042,,False,not-in-final-subset
adherence,1,COVERTYPE_STANDARD,2.4085740115631363e-05,7.765981766215681e-05,0.024050860244517764,0.1728249473705745,0.8271750526294255,0.45,0.5,0.05,0.05,0.25,0.25,True,Administrative coverage context.,0.09458344986799584,0.5,0.40295830847118375,0.39607413231411304,0.0004674394283031154,Low-Value Feature,False,True,0.37736421171239604,,False,not-in-final-subset
adherence,1,SCHEMETYPE_MEDIUM,6.106474188083411e-06,0.0,0.009860595788404772,0.46130612326943987,0.5,0.45,0.4833333333333334,0.05,0.05,0.25,0.25,True,Insurance plan proxy.,0.12262269457659629,0.5,0.33333333333333337,0.3258479508491093,0.0002046749574928141,Low-Value Feature,False,True,0.30699143868447515,,False,not-in-final-subset
