study,fold,method,features,n_features,avg_leakage_risk,avg_clinical_utility,designated_traps_selected,designated_trap_fraction,prediction_unavailable_selected
adherence,1,All Features,"[""AGE"", ""ANNUALCONTRIBUTION"", ""ANNUALCLAIMAMOUNT"", ""UNITSTOTAL"", ""GENDER_M"", ""SCHEMETYPE_MEDIUM"", ""SCHEMETYPE_PREMIUM"", ""DIAGNOSIS_HYPERTENSION"", ""COVERTYPE_STANDARD"", ""COMORBIDITY_NO_COMORBIDITY"", ""COMPLICATIONDEVELOPMENT_NO_COMPLICATION""]",11,0.17048490173160968,0.6151515151515151,2,1.0,0
adherence,1,Mutual Information,"[""UNITSTOTAL"", ""ANNUALCLAIMAMOUNT"", ""AGE"", ""DIAGNOSIS_HYPERTENSION"", ""COMPLICATIONDEVELOPMENT_NO_COMPLICATION""]",5,0.23484197800418655,0.6833333333333333,2,1.0,0
adherence,1,LightGBM Gain,"[""ANNUALCLAIMAMOUNT"", ""UNITSTOTAL"", ""AGE"", ""ANNUALCONTRIBUTION"", ""DIAGNOSIS_HYPERTENSION""]",5,0.23247854776288102,0.6466666666666667,2,1.0,0
adherence,1,Permutation Importance,"[""UNITSTOTAL"", ""ANNUALCLAIMAMOUNT"", ""COMPLICATIONDEVELOPMENT_NO_COMPLICATION"", ""DIAGNOSIS_HYPERTENSION"", ""AGE""]",5,0.23484197800418655,0.6833333333333333,2,1.0,0
adherence,1,SHAP Ranking,"[""UNITSTOTAL"", ""ANNUALCLAIMAMOUNT"", ""AGE"", ""COMPLICATIONDEVELOPMENT_NO_COMPLICATION"", ""DIAGNOSIS_HYPERTENSION""]",5,0.23484197800418655,0.6833333333333333,2,1.0,0
adherence,1,Availability Gate + SHAP,"[""UNITSTOTAL"", ""ANNUALCLAIMAMOUNT"", ""AGE"", ""COMPLICATIONDEVELOPMENT_NO_COMPLICATION"", ""DIAGNOSIS_HYPERTENSION""]",5,0.23484197800418655,0.6833333333333333,2,1.0,0
adherence,1,Semantic Veto + SHAP,"[""ANNUALCLAIMAMOUNT"", ""AGE"", ""COMPLICATIONDEVELOPMENT_NO_COMPLICATION"", ""DIAGNOSIS_HYPERTENSION"", ""GENDER_M""]",5,0.16529028424356104,0.67,1,0.5,0
adherence,1,PSEUL-Select,"[""DIAGNOSIS_HYPERTENSION"", ""COMPLICATIONDEVELOPMENT_NO_COMPLICATION"", ""AGE"", ""ANNUALCLAIMAMOUNT"", ""COMORBIDITY_NO_COMORBIDITY""]",5,0.19079499747594372,0.7233333333333334,1,0.5,0
adherence,1,PSEUL-Audit,"[""UNITSTOTAL"", ""DIAGNOSIS_HYPERTENSION"", ""AGE"", ""ANNUALCLAIMAMOUNT"", ""COMPLICATIONDEVELOPMENT_NO_COMPLICATION""]",5,0.23484197800418655,0.6833333333333333,2,1.0,0
adherence,1,PSEUL-Auto (leakage metadata null),"[""UNITSTOTAL"", ""DIAGNOSIS_HYPERTENSION"", ""COMPLICATIONDEVELOPMENT_NO_COMPLICATION"", ""AGE"", ""ANNUALCLAIMAMOUNT""]",5,0.23484197800418652,0.6833333333333333,2,1.0,0
adherence,1,Oracle Trap Exclusion + SHAP,"[""AGE"", ""COMORBIDITY_NO_COMORBIDITY"", ""ANNUALCONTRIBUTION"", ""GENDER_M"", ""DIAGNOSIS_HYPERTENSION""]",5,0.13382695677606088,0.6866666666666666,0,0.0,0
adherence,2,All Features,"[""AGE"", ""ANNUALCONTRIBUTION"", ""ANNUALCLAIMAMOUNT"", ""UNITSTOTAL"", ""GENDER_M"", ""SCHEMETYPE_MEDIUM"", ""SCHEMETYPE_PREMIUM"", ""DIAGNOSIS_HYPERTENSION"", ""COVERTYPE_STANDARD"", ""COMORBIDITY_NO_COMORBIDITY"", ""COMPLICATIONDEVELOPMENT_NO_COMPLICATION""]",11,0.17130211803812093,0.6151515151515151,2,1.0,0
adherence,2,Mutual Information,"[""UNITSTOTAL"", ""ANNUALCLAIMAMOUNT"", ""AGE"", ""COMORBIDITY_NO_COMORBIDITY"", ""GENDER_M""]",5,0.2320971347113947,0.6433333333333333,2,1.0,0
adherence,2,LightGBM Gain,"[""ANNUALCLAIMAMOUNT"", ""UNITSTOTAL"", ""AGE"", ""ANNUALCONTRIBUTION"", ""DIAGNOSIS_HYPERTENSION""]",5,0.22966215580396332,0.6466666666666667,2,1.0,0
adherence,2,Permutation Importance,"[""UNITSTOTAL"", ""ANNUALCLAIMAMOUNT"", ""COMPLICATIONDEVELOPMENT_NO_COMPLICATION"", ""DIAGNOSIS_HYPERTENSION"", ""AGE""]",5,0.22990882617537264,0.6833333333333333,2,1.0,0
adherence,2,SHAP Ranking,"[""UNITSTOTAL"", ""ANNUALCLAIMAMOUNT"", ""COMPLICATIONDEVELOPMENT_NO_COMPLICATION"", ""AGE"", ""DIAGNOSIS_HYPERTENSION""]",5,0.22990882617537264,0.6833333333333333,2,1.0,0
adherence,2,Availability Gate + SHAP,"[""UNITSTOTAL"", ""ANNUALCLAIMAMOUNT"", ""COMPLICATIONDEVELOPMENT_NO_COMPLICATION"", ""AGE"", ""DIAGNOSIS_HYPERTENSION""]",5,0.22990882617537264,0.6833333333333333,2,1.0,0
adherence,2,Semantic Veto + SHAP,"[""ANNUALCLAIMAMOUNT"", ""COMPLICATIONDEVELOPMENT_NO_COMPLICATION"", ""AGE"", ""DIAGNOSIS_HYPERTENSION"", ""ANNUALCONTRIBUTION""]",5,0.1833043284780818,0.6733333333333333,1,0.5,0
adherence,2,PSEUL-Select,"[""DIAGNOSIS_HYPERTENSION"", ""COMPLICATIONDEVELOPMENT_NO_COMPLICATION"", ""AGE"", ""ANNUALCLAIMAMOUNT"", ""COMORBIDITY_NO_COMORBIDITY""]",5,0.18898987532009237,0.7233333333333334,1,0.5,0
adherence,2,PSEUL-Audit,"[""UNITSTOTAL"", ""AGE"", ""DIAGNOSIS_HYPERTENSION"", ""COMPLICATIONDEVELOPMENT_NO_COMPLICATION"", ""ANNUALCLAIMAMOUNT""]",5,0.22990882617537264,0.6833333333333333,2,1.0,0
