feature,raw_predictive_drop,predictive_utility,raw_shap_mean_abs,raw_shap_cv,shap_stability,evidence_relevance,clinical_utility,label_derived_risk,definitional_overlap,target_proxy_strength,semantic_risk_max,available_at_prediction,interpretation,leakage_risk,theta_l_mean,audit_score,pre_score,uncertainty_width,pseul_category,semantic_veto,admissible_for_selection,select_score,selection_order,selected,rejection_reason
bmi,0.0,0.0,0.03313912219356797,0.27561678197798994,0.5,0.95,0.8833333333333333,0.05,0.1,0.25,0.25,True,BMI is a core actionable diabetes risk factor.,0.14241029629128996,0.5774130578180304,0.5583333333333333,0.5512189636413849,3.967000920349162e-05,Clinically Actionable Feature,False,True,0.5512189636413849,1.0,True,
age,0.0,0.0,0.08115207747347537,0.36584447705030104,0.6341555229496989,0.9,0.7333333333333333,0.0,0.0,0.05,0.05,True,Age is a stable diabetes risk factor.,0.06726283607373794,0.5774130578180304,0.5351644379232732,0.531926267580444,1.2477569218322037e-05,Clinically Actionable Feature,False,True,0.5308947075566617,2.0,True,
hypertension,0.0,0.0,0.0,0.0,0.5,0.8,0.8333333333333334,0.05,0.1,0.25,0.25,True,Cardiometabolic comorbidity.,0.10000000000000002,0.5774130578180304,0.5083333333333334,0.5040761784679811,1.403691126050164e-05,Clinically Actionable Feature,False,True,0.5040761784679811,3.0,True,
exercise_any,7.401486830834377e-18,5.870370225664976e-17,0.0021913534570616464,0.5770184760580778,0.5,0.7,0.7999999999999999,0.0,0.0,0.05,0.05,True,Physical activity is actionable.,0.04946608493031055,0.5774130578180304,0.475,0.4725919998913819,2.24633194615785e-05,Clinically Actionable Feature,False,True,0.4595417904995387,4.0,True,
high_cholesterol,0.0,0.0,0.0,0.0,0.5,0.7,0.75,0.05,0.1,0.25,0.25,True,Metabolic risk marker.,0.10000000000000002,0.5774130578180304,0.4625,0.45862668696676967,1.2771288114055348e-05,Clinically Actionable Feature,False,True,0.45862668696676967,5.0,True,
general_health,0.0,0.0,0.051875159957683055,0.30975468642588627,0.6902453135741138,0.7,0.7000000000000001,0.05,0.1,0.25,0.25,True,Self-rated general health.,0.16288077539818194,0.5774130578180304,0.48804906271482273,0.4804395021598751,6.331631187072585e-05,Clinically Actionable Feature,False,True,0.45239165726438485,6.0,True,
kidney_disease,7.401486830834377e-18,5.870370225664976e-17,0.006919368669099278,0.5132444672414301,0.5,0.65,0.7000000000000001,0.05,0.1,0.25,0.25,True,Diabetes-related comorbidity risk.,0.1456042488286532,0.5774130578180304,0.4375,0.4317466742894422,4.8059985297203495e-05,Domain-Supportive Feature,False,True,0.4147077355160869,7.0,True,
heart_attack,0.0,0.0,0.0014209620652022269,0.6175181614073126,0.5,0.6,0.6666666666666666,0.05,0.1,0.25,0.25,True,Cardiovascular comorbidity.,0.13973676890971112,0.5774130578180304,0.41666666666666663,0.4114957698144697,2.652801223343916e-05,Domain-Supportive Feature,False,True,0.3939735722452659,8.0,True,
heart_disease,7.401486830834377e-18,5.870370225664976e-17,0.000375705852832769,0.14850358929635427,0.5,0.6,0.6666666666666666,0.05,0.1,0.25,0.25,True,Cardiovascular comorbidity.,0.13734983200417075,0.5774130578180304,0.41666666666666663,0.41161546745658617,0.00010511854793808184,Domain-Supportive Feature,False,True,0.37050039051667905,,False,not-in-final-subset
current_smoker,0.0,0.0,0.0004218642744363116,0.20701543421851645,0.5,0.45,0.6833333333333332,0.0,0.0,0.05,0.05,True,Lifestyle risk factor.,0.015369639682577407,0.5774130578180304,0.3833333333333333,0.3819494468578506,1.4337694825594647e-05,Low-Value Feature,False,True,0.36753880187419613,,False,not-in-final-subset
sex_male,0.0,0.0,0.004906066548278709,0.507066515963515,0.5,0.525,0.5499999999999999,0.0,0.0,0.05,0.05,True,Sex subgroup marker.,0.018626401521633057,0.5774130578180304,0.36875,0.3673748063465456,1.9461439355040538e-05,Domain-Supportive Feature,False,True,0.35981223293226744,,False,not-in-final-subset
physical_health_days,0.0,0.0,0.009200810606808702,0.5306210565942064,0.5,0.55,0.6,0.05,0.1,0.25,0.25,True,Physical health burden.,0.1364035895620713,0.5774130578180304,0.3875,0.3828465206519807,6.462901564354991e-05,Domain-Supportive Feature,False,True,0.33343165824136634,,False,not-in-final-subset
mental_health_days,0.0,0.0,0.0025542294321375197,0.23239422626060183,0.5,0.45,0.5833333333333334,0.0,0.0,0.05,0.05,True,Mental health burden.,0.018270706362200705,0.5774130578180304,0.3583333333333334,0.35700171093758204,1.9121205917018024e-05,Low-Value Feature,False,True,0.3288785432683869,,False,not-in-final-subset
checkup_recent,0.0,0.0,0.012410527845705586,0.19940170703258836,0.5,0.45,0.5833333333333334,0.05,0.1,0.25,0.25,True,Healthcare utilization context.,0.13538717959061575,0.5774130578180304,0.3583333333333334,0.3540734319442971,4.662012832156123e-06,Low-Value Feature,False,True,0.3283814661356394,,False,not-in-final-subset
diabetes_age,0.0,0.0,0.5560753143127745,0.18803517561916813,0.8119648243808318,0.95,0.6333333333333334,0.9,1.0,0.95,1.0,True,Age at diabetes diagnosis is derived after label.,0.7217011154298798,0.5774130578180304,0.5582262982094998,0.10669392131822908,0.0024816325077335615,Clinically Relevant but Weak Predictor,True,False,0.09233781636188161,,False,semantic-veto
insulin_use,0.0,0.0,0.00016763181634180094,0.7022267400900918,0.5,0.95,0.7833333333333332,0.9,1.0,0.95,1.0,True,Insulin use is label-proximal for diabetes.,0.7719828991016017,0.5774130578180304,0.5333333333333333,0.06667936314929619,0.00026210041060451705,Clinically Relevant but Weak Predictor,True,False,0.05784065126944333,,False,semantic-veto
insulin_use_observed,0.0,0.0,0.044871553009977604,0.3970879491661636,0.5,0.95,0.65,1.0,1.0,1.0,1.0,True,Question-observation indicator is determined by the diabetes-contingent skip pattern.,0.8589000731742263,0.5774130578180304,0.5,0.028263099425760146,0.00010889541757011322,Label-Proximal Feature,True,False,0.0166873055621043,,False,semantic-veto
diabetes_age_observed,0.12608111316000878,0.9999920686608518,4.753307169979101,0.09854431704509448,0.9014556829549055,0.95,0.65,1.0,1.0,1.0,1.0,True,Question-observation indicator is determined by the diabetes-contingent skip pattern.,0.9999997500002499,0.5774130578180304,0.8802887571892366,0.012678152812710822,4.146478536006064e-05,Label-Proximal Feature,True,False,0.0,,False,semantic-veto
