method,features,n_features,avg_leakage_risk,avg_clinical_utility,designated_traps_selected,designated_trap_fraction,prediction_unavailable_selected
All Features,"[""age"", ""sex_male"", ""bmi"", ""general_health"", ""physical_health_days"", ""mental_health_days"", ""checkup_recent"", ""exercise_any"", ""hypertension"", ""high_cholesterol"", ""heart_attack"", ""heart_disease"", ""kidney_disease"", ""current_smoker"", ""insulin_use"", ""diabetes_age"", ""insulin_use_observed"", ""diabetes_age_observed""]",18,0.26229734427006174,0.6916666666666667,4,1.0,0
Mutual Information,"[""diabetes_age_observed"", ""diabetes_age"", ""insulin_use_observed"", ""age"", ""general_health"", ""insulin_use"", ""checkup_recent"", ""bmi""]",8,0.4825656156324729,0.7020833333333334,4,1.0,0
LightGBM Gain,"[""bmi"", ""age"", ""general_health"", ""physical_health_days"", ""diabetes_age"", ""mental_health_days"", ""insulin_use_observed"", ""sex_male""]",8,0.2658069742266526,0.6666666666666667,2,0.5,0
Permutation Importance,"[""diabetes_age_observed"", ""mental_health_days"", ""heart_attack"", ""insulin_use_observed"", ""diabetes_age"", ""insulin_use"", ""current_smoker"", ""kidney_disease""]",8,0.45894565018613753,0.66875,4,1.0,0
SHAP Ranking,"[""diabetes_age_observed"", ""diabetes_age"", ""age"", ""insulin_use_observed"", ""general_health"", ""bmi"", ""checkup_recent"", ""physical_health_days""]",8,0.4031182019400316,0.6791666666666667,3,0.75,0
Availability Gate + SHAP,"[""diabetes_age_observed"", ""diabetes_age"", ""age"", ""insulin_use_observed"", ""general_health"", ""bmi"", ""checkup_recent"", ""physical_health_days""]",8,0.4031182019400316,0.6791666666666667,3,0.75,0
Semantic Veto + SHAP,"[""age"", ""general_health"", ""bmi"", ""checkup_recent"", ""physical_health_days"", ""exercise_any"", ""kidney_disease"", ""sex_male""]",8,0.10725517652456168,0.6937500000000001,0,0.0,0
PSEUL-Select,"[""bmi"", ""age"", ""hypertension"", ""exercise_any"", ""high_cholesterol"", ""general_health"", ""kidney_disease"", ""heart_attack""]",8,0.11342012630398556,0.7583333333333333,0,0.0,0
PSEUL-Audit,"[""diabetes_age_observed"", ""bmi"", ""diabetes_age"", ""age"", ""insulin_use"", ""hypertension"", ""insulin_use_observed"", ""general_health""]",8,0.47814221818364594,0.7333333333333334,4,1.0,0
PSEUL-Auto (leakage metadata null),"[""diabetes_age_observed"", ""diabetes_age"", ""bmi"", ""age"", ""hypertension"", ""insulin_use"", ""high_cholesterol"", ""general_health""]",8,0.38327970903686764,0.7458333333333333,3,0.75,0
Oracle Trap Exclusion + SHAP,"[""age"", ""general_health"", ""bmi"", ""checkup_recent"", ""exercise_any"", ""sex_male"", ""kidney_disease"", ""heart_attack""]",8,0.10767182394301666,0.7020833333333334,0,0.0,0
