reference,comparator,metric,delta_reference_minus_comparator,ci_low,ci_high,probability_delta_gt_zero,two_sided_bootstrap_p,bootstrap_replicates,inference_method,holm_adjusted_p
PSEUL-Select,All Features,auc,-0.207352688242606,-0.21304349257597732,-0.20166188390923467,0.0,0.0,0,paired DeLong,0.0
PSEUL-Select,All Features,mcc,-0.7898058881063391,-0.8049004163148208,-0.7752100297157919,0.0,0.0009995002498750624,2000,paired stratified multinomial bootstrap,0.009995002498750623
PSEUL-Select,Availability Gate + SHAP,auc,-0.207352688242606,-0.21304349257597732,-0.20166188390923467,0.0,0.0,0,paired DeLong,0.0
PSEUL-Select,Availability Gate + SHAP,mcc,-0.7896071240354572,-0.8033138935367378,-0.7743841292340813,0.0,0.0009995002498750624,2000,paired stratified multinomial bootstrap,0.009995002498750623
PSEUL-Select,LightGBM Gain,auc,-0.20513113951147366,-0.21084459929317728,-0.19941767972977004,0.0,0.0,0,paired DeLong,0.0
PSEUL-Select,LightGBM Gain,mcc,-0.7802234710328354,-0.7950414167165079,-0.7658870428090673,0.0,0.0009995002498750624,2000,paired stratified multinomial bootstrap,0.009995002498750623
PSEUL-Select,Mutual Information,auc,-0.207352688242606,-0.21304349257597732,-0.20166188390923467,0.0,0.0,0,paired DeLong,0.0
PSEUL-Select,Mutual Information,mcc,-0.7895079820729428,-0.8043365297726851,-0.7749520651812306,0.0,0.0009995002498750624,2000,paired stratified multinomial bootstrap,0.009995002498750623
PSEUL-Select,Oracle Trap Exclusion + SHAP,auc,-0.010412268093739963,-0.012374895057451214,-0.00844964113002871,1.261564068226874e-25,2.523128136453748e-25,0,paired DeLong,5.046256272907496e-25
PSEUL-Select,Oracle Trap Exclusion + SHAP,mcc,-0.0024318149824685007,-0.010572427439335823,0.005492781907118751,0.283,0.5667166416791605,2000,paired stratified multinomial bootstrap,0.5667166416791605
PSEUL-Select,PSEUL-Audit,auc,-0.207352688242606,-0.21304349257597732,-0.20166188390923467,0.0,0.0,0,paired DeLong,0.0
PSEUL-Select,PSEUL-Audit,mcc,-0.7897715524440736,-0.8038379387261775,-0.7756434471628791,0.0,0.0009995002498750624,2000,paired stratified multinomial bootstrap,0.009995002498750623
PSEUL-Select,PSEUL-Auto (leakage metadata null),auc,-0.207352688242606,-0.21304349257597732,-0.20166188390923467,0.0,0.0,0,paired DeLong,0.0
PSEUL-Select,PSEUL-Auto (leakage metadata null),mcc,-0.789294857631521,-0.8045663246925303,-0.7756826355154507,0.0,0.0009995002498750624,2000,paired stratified multinomial bootstrap,0.009995002498750623
PSEUL-Select,Permutation Importance,auc,-0.207352688242606,-0.21304349257597732,-0.20166188390923467,0.0,0.0,0,paired DeLong,0.0
PSEUL-Select,Permutation Importance,mcc,-0.7896540819204481,-0.8036703985453876,-0.7748553801144099,0.0,0.0009995002498750624,2000,paired stratified multinomial bootstrap,0.009995002498750623
PSEUL-Select,SHAP Ranking,auc,-0.207352688242606,-0.21304349257597732,-0.20166188390923467,0.0,0.0,0,paired DeLong,0.0
PSEUL-Select,SHAP Ranking,mcc,-0.7895781980900258,-0.8032916640138091,-0.7757480720579736,0.0,0.0009995002498750624,2000,paired stratified multinomial bootstrap,0.009995002498750623
PSEUL-Select,Semantic Veto + SHAP,auc,-0.008131438080661968,-0.010507880434424771,-0.005754995726899164,9.96716276376892e-12,1.993432552753784e-11,0,paired DeLong,1.993432552753784e-11
PSEUL-Select,Semantic Veto + SHAP,mcc,0.025052534223030592,0.01261658904484786,0.036877792933336824,1.0,0.0009995002498750624,2000,paired stratified multinomial bootstrap,0.009995002498750623
