study,method,auc,average_precision,mcc,accuracy,balanced_accuracy,f1_weighted,brier,sensitivity,specificity,ppv,npv,calibration_intercept,calibration_slope
brfss,All Features,1.0,1.0,1.0,1.0,1.0,1.0,5.562431690529372e-10,1.0,1.0,1.0,1.0,-0.061010847795152236,1.0311631199922968
brfss,Availability Gate + SHAP,1.0,1.0,1.0,1.0,1.0,1.0,6.775122421229949e-10,1.0,1.0,1.0,1.0,-0.060805009516823966,1.0300351056641608
brfss,LightGBM Gain,0.9977784512688677,0.9941046315835315,0.9905121937660588,0.99765,0.9921935729009155,0.9976427117351615,0.0022934213409765464,0.984504132231405,0.9998830135704259,0.9993009437259699,0.9973744092420794,-0.46086505036647646,0.8022174346974377
brfss,Mutual Information,1.0,1.0,1.0,1.0,1.0,1.0,7.024622892960643e-10,1.0,1.0,1.0,1.0,-0.0608588740411988,1.0302103811169703
brfss,Oracle Trap Exclusion + SHAP,0.8030595798511341,0.3946758273615636,0.21275332644619732,0.85895,0.5518811450103193,0.8173128388040923,0.10439786338651497,0.11914600550964187,0.9846162845109967,0.5681444991789819,0.8680831313495951,-0.08314017128885681,0.9333327233263065
brfss,PSEUL-Audit,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0857382865065049e-09,1.0,1.0,1.0,1.0,-0.060903791084847565,1.031387165854226
brfss,PSEUL-Auto (leakage metadata null),1.0,1.0,1.0,1.0,1.0,1.0,1.7712212405581198e-09,1.0,1.0,1.0,1.0,-0.059424776788410995,1.1111650879060522
brfss,PSEUL-Select,0.792647311757394,0.38383533615921356,0.21043642137775934,0.859125,0.5500539571707203,0.8165747196996828,0.10575789424121473,0.11449724517906336,0.9856106691623772,0.57476231633535,0.8675951908966867,-0.09151138800957263,0.930779435631887
brfss,Permutation Importance,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,8.037497276167597e-10,1.0,1.0,1.0,1.0,-0.06110735507052925,1.0311129379648278
brfss,SHAP Ranking,1.0,1.0,1.0,1.0,1.0,1.0,6.775122421229949e-10,1.0,1.0,1.0,1.0,-0.060805009516823966,1.0300351056641608
brfss,Semantic Veto + SHAP,0.8007787498380561,0.38775786551057323,0.18526685340533963,0.856725,0.5427900022688278,0.8123342663595777,0.10490029561354088,0.10037878787878787,0.9852012166588676,0.5353535353535354,0.8657192053660918,-0.0773921484888052,0.9381067579625118
