study,fold,method,features,n_features,avg_leakage_risk,avg_clinical_utility,designated_traps_selected,designated_trap_fraction,prediction_unavailable_selected
brfss,1,All Features,"[""age"", ""sex_male"", ""bmi"", ""general_health"", ""physical_health_days"", ""mental_health_days"", ""checkup_recent"", ""exercise_any"", ""hypertension"", ""high_cholesterol"", ""heart_attack"", ""heart_disease"", ""kidney_disease"", ""current_smoker"", ""insulin_use"", ""diabetes_age"", ""insulin_use_observed"", ""diabetes_age_observed""]",18,0.26231165858468775,0.6916666666666667,4,1.0,0
brfss,1,Mutual Information,"[""diabetes_age_observed"", ""diabetes_age"", ""insulin_use_observed"", ""general_health"", ""age"", ""insulin_use"", ""exercise_any"", ""bmi""]",8,0.47244654724152485,0.7291666666666667,4,1.0,0
brfss,1,LightGBM Gain,"[""bmi"", ""age"", ""general_health"", ""kidney_disease"", ""physical_health_days"", ""diabetes_age"", ""checkup_recent"", ""insulin_use_observed""]",8,0.29677332069958323,0.6854166666666667,2,0.5,0
brfss,1,Permutation Importance,"[""diabetes_age_observed"", ""sex_male"", ""insulin_use_observed"", ""diabetes_age"", ""insulin_use"", ""current_smoker"", ""kidney_disease"", ""heart_disease""]",8,0.459132910156408,0.6645833333333333,4,1.0,0
brfss,1,SHAP Ranking,"[""diabetes_age_observed"", ""diabetes_age"", ""age"", ""insulin_use_observed"", ""general_health"", ""bmi"", ""checkup_recent"", ""physical_health_days""]",8,0.40351224024731647,0.6791666666666667,3,0.75,0
brfss,1,Availability Gate + SHAP,"[""diabetes_age_observed"", ""diabetes_age"", ""age"", ""insulin_use_observed"", ""general_health"", ""bmi"", ""checkup_recent"", ""physical_health_days""]",8,0.40351224024731647,0.6791666666666667,3,0.75,0
brfss,1,Semantic Veto + SHAP,"[""age"", ""general_health"", ""bmi"", ""checkup_recent"", ""physical_health_days"", ""kidney_disease"", ""sex_male"", ""exercise_any""]",8,0.1071373220876679,0.6937500000000001,0,0.0,0
brfss,1,PSEUL-Select,"[""bmi"", ""age"", ""hypertension"", ""exercise_any"", ""high_cholesterol"", ""kidney_disease"", ""general_health"", ""heart_attack""]",8,0.11325015112969816,0.7583333333333333,0,0.0,0
brfss,1,PSEUL-Audit,"[""diabetes_age_observed"", ""diabetes_age"", ""bmi"", ""age"", ""insulin_use"", ""hypertension"", ""insulin_use_observed"", ""exercise_any""]",8,0.46458174881677494,0.7458333333333333,4,1.0,0
brfss,1,PSEUL-Auto (leakage metadata null),"[""diabetes_age_observed"", ""diabetes_age"", ""bmi"", ""age"", ""hypertension"", ""insulin_use"", ""high_cholesterol"", ""exercise_any""]",8,0.36970198010369437,0.7583333333333333,3,0.75,0
brfss,1,Oracle Trap Exclusion + SHAP,"[""age"", ""general_health"", ""checkup_recent"", ""bmi"", ""exercise_any"", ""sex_male"", ""kidney_disease"", ""heart_attack""]",8,0.10739789586670506,0.7020833333333334,0,0.0,0
brfss,2,All Features,"[""age"", ""sex_male"", ""bmi"", ""general_health"", ""physical_health_days"", ""mental_health_days"", ""checkup_recent"", ""exercise_any"", ""hypertension"", ""high_cholesterol"", ""heart_attack"", ""heart_disease"", ""kidney_disease"", ""current_smoker"", ""insulin_use"", ""diabetes_age"", ""insulin_use_observed"", ""diabetes_age_observed""]",18,0.2625013607886278,0.6916666666666667,4,1.0,0
brfss,2,Mutual Information,"[""diabetes_age_observed"", ""diabetes_age"", ""insulin_use_observed"", ""general_health"", ""age"", ""insulin_use"", ""exercise_any"", ""checkup_recent""]",8,0.47128876897111793,0.6916666666666667,4,1.0,0
brfss,2,LightGBM Gain,"[""bmi"", ""age"", ""general_health"", ""kidney_disease"", ""diabetes_age"", ""physical_health_days"", ""insulin_use_observed"", ""exercise_any""]",8,0.285953748806252,0.7125,2,0.5,0
brfss,2,Permutation Importance,"[""diabetes_age_observed"", ""heart_attack"", ""insulin_use_observed"", ""checkup_recent"", ""sex_male"", ""diabetes_age"", ""insulin_use"", ""current_smoker""]",8,0.4581754238302218,0.6499999999999999,4,1.0,0
