study,scenario,method,auc,average_precision,mcc,accuracy,balanced_accuracy,f1_weighted,brier,sensitivity,specificity,ppv,npv,calibration_intercept,calibration_slope
adherence,Retrospective classification,All Features,0.9009334911145928,0.8173214581977348,0.6394807184371557,0.8198483589530536,0.825232689672051,0.821376389487869,0.1217840010015591,0.8526179702650291,0.797847409079073,0.7390183774092335,0.8896631823461092,0.0100296964560269,0.9733436280621024
adherence,Retrospective classification,Availability Gate + SHAP,0.9003501377182176,0.8155773800945643,0.6404907248448686,0.8202638138761944,0.8257710618315549,0.8217950046425437,0.1221092705808435,0.853781512605042,0.7977606110580678,0.7391985672710991,0.8904282115869018,0.0101863622163191,0.9639364672999332
adherence,Retrospective classification,LightGBM Gain,0.892005111152244,0.7901175165379536,0.6359506941835887,0.8160054009140009,0.8239542058803051,0.8177091628267329,0.1255130338836299,0.8643826761473821,0.783525735613228,0.728322440087146,0.8958912266772528,0.0161224425331281,0.9627671583700708
adherence,Retrospective classification,Mutual Information,0.8913165116486929,0.7921874128477624,0.6345392638278324,0.8151744910677191,0.8232598217122641,0.8168927195325326,0.1261859920173883,0.8643826761473821,0.7821369672771461,0.7270552414093084,0.8957256461232604,0.0139267686186594,0.9593083387826392
adherence,Retrospective classification,Oracle Trap Exclusion + SHAP,0.6542712284983432,0.5292170728781409,0.1934253840511026,0.627492729538845,0.5893914695668016,0.6130680183810086,0.2237002407477804,0.3956043956043956,0.7831785435292076,0.5505577545879813,0.6587093006278288,-0.0582776363048962,0.8292667926732841
adherence,Retrospective classification,PSEUL-Audit,0.8996307521292587,0.8138046972656696,0.6410120283048851,0.8204715413377649,0.8260508690266115,0.8220049204290345,0.1225615396740099,0.8544279250161603,0.7976738130370628,0.7392617449664429,0.890849166343544,0.0145899238772033,0.9581177552970886
adherence,Retrospective classification,PSEUL-Auto (leakage metadata null),0.9004622794147805,0.8156575148048846,0.6414773721327526,0.8208869962609057,0.8262281232657578,0.8224008168138238,0.1220928263583875,0.853393665158371,0.7990625813731447,0.740354419021983,0.8903288201160542,0.0137177409947655,0.9614379447878328
adherence,Retrospective classification,PSEUL-Select,0.8365004249848803,0.7210795890270241,0.5074145478422392,0.7545180722891566,0.758231271784017,0.7566774904964869,0.1598234462130552,0.7771170006464124,0.7393455429216214,0.6668515642334147,0.8316735012692833,0.0053618092429784,0.9204738412562122
adherence,Retrospective classification,Permutation Importance,0.9004622794147805,0.8156575148048846,0.6414773721327526,0.8208869962609057,0.8262281232657578,0.8224008168138238,0.1220928263583875,0.853393665158371,0.7990625813731447,0.740354419021983,0.8903288201160542,0.0137177409947655,0.9614379447878328
adherence,Retrospective classification,SHAP Ranking,0.9003501377182176,0.8155773800945643,0.6404907248448686,0.8202638138761944,0.8257710618315549,0.8217950046425437,0.1221092705808435,0.853781512605042,0.7977606110580678,0.7391985672710991,0.8904282115869018,0.0101863622163191,0.9639364672999332
adherence,Retrospective classification,Semantic Veto + SHAP,0.8368644660965078,0.7218857611060662,0.5079930752781276,0.7551412546738678,0.7584546686815179,0.7572622961318282,0.1597174618005313,0.7753070458952812,0.7416022914677546,0.6682638734120794,0.8309667379887181,0.0049023279040466,0.920502619277876
nhanes,Cross-sectional classification stress test,All Features,0.9474068182841238,0.8681098418634678,0.7608312227682458,0.9375400384368994,0.8331975521005135,0.93344248003033,0.050322254413833,0.6765834932821497,0.9898116109188774,0.9300791556728232,0.9385709077652206,-0.2446823008965707,0.6628777846493085
nhanes,Cross-sectional classification stress test,Availability Gate + SHAP,0.9457001441199716,0.8632250605032258,0.7614947138257847,0.9377001921844972,0.8286889141264876,0.9331759475635276,0.0501094009936817,0.6650671785028791,0.992310649750096,0.9454297407912688,0.9366721103248048,-0.2995631023283001,0.675492769046903
nhanes,Cross-sectional classification stress test,LightGBM Gain,0.9212007636218464,0.8244383308842026,0.7183645864729632,0.9274503523382448,0.8029672258049281,0.9213745496713226,0.0590140748104981,0.6161228406909789,0.9898116109188774,0.9237410071942446,0.927914939628762,-0.3236145430369292,0.6841108490973559
