feature,raw_predictive_drop,predictive_utility,raw_shap_mean_abs,raw_shap_cv,shap_stability,evidence_relevance,clinical_utility,label_derived_risk,definitional_overlap,target_proxy_strength,semantic_risk_max,available_at_prediction,interpretation,leakage_risk,theta_l_mean,audit_score,pre_score,uncertainty_width,pseul_category,semantic_veto,admissible_for_selection,select_score,selection_order,selected,rejection_reason
age_ordinal,0.007240865471864186,0.10328100045104825,0.09739653340055254,0.14045282246024882,0.8595471775397512,0.85,0.7166666666666667,0.0,0.0,0.05,0.05,True,Age is a stable readmission risk factor.,0.11286889212683572,0.5765096198668117,0.5945604023099313,0.5887882838949312,0.0010098410402996716,Clinically Actionable Feature,False,True,0.5887882838949312,1.0,True,
number_inpatient,0.029082248907894587,0.4251593365033962,0.13837843779236614,0.10126567462187172,0.8987343253781283,0.7250000000000001,0.5833333333333334,0.0,0.0,0.35,0.35,True,Prior-year history available at admission. Prior inpatient visits: strong operational proxy for readmission.,0.33749758151202275,0.5765096198668117,0.6343779993599779,0.5810642774591049,0.003226603187056152,Domain-Supportive Feature,False,True,0.5785924201994701,2.0,True,
number_emergency,0.0026071284626003536,0.03499322176640735,0.02651760790043022,0.09618865082705372,0.9038113491729463,0.6,0.6,0.0,0.0,0.35,0.35,True,Prior-year history available at admission. Prior-year ED visits; utilization proxy.,0.16359289977501265,0.5765096198668117,0.49126023636451144,0.48347111885598926,0.00037078674855390924,Domain-Supportive Feature,False,True,0.46889381356980425,3.0,True,
admission_type_id,0.003714969697656471,0.05131957281438155,0.04123445919126392,0.17874603633736844,0.8212539636626316,0.525,0.55,0.0,0.0,0.1,0.1,True,Admission type is available at the admission landmark.,0.025095125190502734,0.5765096198668117,0.4483966645768408,0.44659401569916946,0.00011913484218754641,Domain-Supportive Feature,False,True,0.442484370605112,4.0,True,
number_outpatient,0.0016233844082862066,0.020495701486548303,0.016606181312205974,0.26068411553612664,0.7393158844638734,0.55,0.5833333333333334,0.0,0.0,0.35,0.35,True,Prior-year history available at admission. Prior-year outpatient visits; utilization proxy.,0.11243400826304416,0.5765096198668117,0.4373452206720726,0.43315975804378065,0.00024103750061375638,Domain-Supportive Feature,False,True,0.42263605529633613,5.0,True,
gender_male,0.0005532294610061254,0.004724736485289893,0.01715944169491854,0.2517226843939748,0.7482773156060252,0.525,0.5499999999999999,0.0,0.0,0.05,0.05,True,Demographic stratifier.,0.02213431664235774,0.5765096198668117,0.419822884066792,0.41818631617472396,5.4421930228659157e-05,Domain-Supportive Feature,False,True,0.412372822255117,,False,not-in-final-subset
admission_source_id,0.00046021759920967424,0.0033540127215751394,0.050228730834797265,0.15437092508984185,0.8456290749101582,0.45,0.5,0.1,0.15,0.35,0.35,True,Admission source; administrative context.,0.16101405997312812,0.5765096198668117,0.4076320187985042,0.40132858754778195,0.0003623591162826879,Low-Value Feature,False,True,0.38897764548013786,,False,not-in-final-subset
time_in_hospital,0.007837817970623329,0.11207834048977092,0.09300169306908225,0.07716892814519331,0.9228310718548067,0.7,0.5166666666666666,0.85,0.1,0.85,0.85,False,Unavailable at admission landmark. Length of stay; utilization signal.,0.5686166376125422,0.5765096198668117,0.5223563831845592,0.0,0.0,Low-Value Feature,True,False,0.0,,False,post-landmark
num_lab_procedures,0.003361756339609149,0.046114237342261964,0.0839776348780215,0.07286821590284878,0.9271317840971512,0.55,0.43333333333333335,0.85,0.05,0.85,0.85,False,Unavailable at admission landmark. Care-intensity proxy.,0.49086292093021977,0.5765096198668117,0.44509396135544216,0.0,0.0,Domain-Supportive Feature,True,False,0.0,,False,post-landmark
num_procedures,0.0033176448210052944,0.04546416211920954,0.038145193896223235,0.24790754263693562,0.7520924573630644,0.55,0.43333333333333335,0.85,0.05,0.85,0.85,False,Unavailable at admission landmark. Care-intensity proxy.,0.441318148870284,0.5765096198668117,0.4098910734417091,0.0,0.0,Domain-Supportive Feature,True,False,0.0,,False,post-landmark
