study,fold,method,auc,average_precision,mcc,accuracy,balanced_accuracy,f1_weighted,brier,sensitivity,specificity,ppv,npv,calibration_intercept,calibration_slope,n_features,avg_leakage_risk,avg_clinical_utility,designated_traps_selected,designated_trap_fraction,prediction_unavailable_selected
diabetes130_admission,1,All Features,0.6422439566786388,0.1556027794881074,-0.0095136826396039,0.91109375,0.4994860373479527,0.8696025212574605,0.0784994807864051,0.0,0.9989720746959054,0.0,0.9119487019080388,-0.4180078465088793,0.8032081521776598,18,0.37386956635935925,0.5111111111111112,11,1.0,11
diabetes130_admission,1,Mutual Information,0.630462678977832,0.1509109019596866,0.0030660232359107,0.9109375,0.5002028159310773,0.869825109415854,0.078891243206784,0.0017761989342806,0.998629432927874,0.1111111111111111,0.9120638397746832,-0.5580524416067735,0.7455718488109978,5,0.5235177491528901,0.4833333333333334,4,0.36363636363636365,4
diabetes130_admission,1,LightGBM Gain,0.5866227906680936,0.1278972019743398,-0.0054910099506816,0.91171875,0.4998286791159842,0.8699145637515325,0.0799221982187545,0.0,0.9996573582319684,0.0,0.9120037511722412,-0.952512400400857,0.577591227497656,5,0.48040260970663445,0.5166666666666667,4,0.36363636363636365,4
diabetes130_admission,1,Permutation Importance,0.6254423380462298,0.1478987806871385,0.0349969961984825,0.91125,0.5027814538904903,0.8708746227821408,0.07912928860954,0.0071047957371225,0.998458112043858,0.3076923076923077,0.9124784718960388,-0.7039560897666748,0.6824153016036989,5,0.5248696971421304,0.49000000000000005,4,0.36363636363636365,4
diabetes130_admission,1,SHAP Ranking,0.6245113322830927,0.1433145739404169,0.0046251509606043,0.91109375,0.5002884763730852,0.8699037039388728,0.0794179845843364,0.0017761989342806,0.9988007538118896,0.125,0.9120775969962454,-0.7318658360494721,0.6699519292479689,5,0.4426036651314577,0.5333333333333333,3,0.2727272727272727,3
diabetes130_admission,1,Availability Gate + SHAP,0.5789039175882644,0.1170441818531394,0.0120421029246098,0.91078125,0.5009195945142019,0.8700444462967902,0.0806666573640587,0.0035523978685612,0.9982867911598424,0.1666666666666666,0.9121790857858484,-1.155438248202511,0.4971720268693262,5,0.1574463917308514,0.5866666666666667,0,0.0,0
diabetes130_admission,1,Semantic Veto + SHAP,0.5789039175882644,0.1170441818531394,0.0120421029246098,0.91078125,0.5009195945142019,0.8700444462967902,0.0806666573640587,0.0035523978685612,0.9982867911598424,0.1666666666666666,0.9121790857858484,-1.155438248202511,0.4971720268693262,5,0.1574463917308514,0.5866666666666667,0,0.0,0
diabetes130_admission,1,PSEUL-Select,0.5847422168435512,0.1208939580281868,0.0419863366987554,0.91125,0.5035838929156228,0.8711678505038563,0.080557196438036,0.0088809946714031,0.9982867911598424,0.3333333333333333,0.9126076742364918,-1.10130586425043,0.5210319645809468,5,0.12863607840218333,0.5966666666666667,0,0.0,0
diabetes130_admission,1,PSEUL-Audit,0.629203333545329,0.148674415223637,0.0472491036143945,0.9115625,0.5037552137996385,0.8713292896033303,0.0790819977824006,0.0088809946714031,0.998629432927874,0.3846153846153846,0.9126350399248472,-0.6564166146572692,0.7052874527710902,5,0.465538683178287,0.54,3,0.2727272727272727,3
diabetes130_admission,1,PSEUL-Auto (leakage metadata null),0.5847422168435512,0.1208939580281868,0.0419863366987554,0.91125,0.5035838929156228,0.8711678505038563,0.080557196438036,0.0088809946714031,0.9982867911598424,0.3333333333333333,0.9126076742364918,-1.10130586425043,0.5210319645809468,5,0.12863607840218333,0.5966666666666667,0,0.0,0
diabetes130_admission,1,Oracle Trap Exclusion + SHAP,0.5789039175882644,0.1170441818531394,0.0120421029246098,0.91078125,0.5009195945142019,0.8700444462967902,0.0806666573640587,0.0035523978685612,0.9982867911598424,0.1666666666666666,0.9121790857858484,-1.155438248202511,0.4971720268693262,5,0.1574463917308514,0.5866666666666667,0,0.0,0
diabetes130_admission,2,All Features,0.6445411171643138,0.1630598319444721,0.0231011864530205,0.9115625,0.5013478967242412,0.8704400964338482,0.0780171284729552,0.0035523978685612,0.9991433955799212,0.2857142857142857,0.9122477709995308,-0.2644309252680967,0.8740983383013368,18,0.37309820144799133,0.5111111111111112,11,1.0,11
diabetes130_admission,2,Mutual Information,0.6363300388804073,0.1567757803197736,0.0460045363472462,0.91109375,0.5043006714987474,0.8713777634740145,0.0785962377250098,0.0106571936056838,0.9979441493918108,0.3333333333333333,0.9127232842369164,-0.4545823041861804,0.795493941434755,5,0.3413142668356001,0.5466666666666666,2,0.18181818181818182,2
diabetes130_admission,2,LightGBM Gain,0.6018819127444176,0.146584929447837,0.050546620580247,0.9121875,0.5024929775174052,0.8710571649114768,0.0790155005012338,0.0053285968028419,0.9996573582319684,0.6,0.9124315871774824,-0.636814142761309,0.7172206429413341,5,0.48502695810196894,0.5166666666666667,4,0.36363636363636365,4
diabetes130_admission,2,Permutation Importance,0.6282061425383669,0.1633589988848939,0.0616784823871256,0.91140625,0.506076870433028,0.8721174422808893,0.0783410168465995,0.0142095914742451,0.9979441493918108,0.4,0.9130094043887148,-0.5386525635643181,0.7586311556865389,5,0.27185446511710654,0.5533333333333333,1,0.09090909090909091,1
diabetes130_admission,2,SHAP Ranking,0.6235197708256055,0.1574782595802261,0.0537001737753263,0.911875,0.5039265346836543,0.8714907144396103,0.0785141219216875,0.0088809946714031,0.9989720746959054,0.4545454545454545,0.9126623884802004,-0.532789888822581,0.7627520176007189,5,0.44549779972430265,0.5333333333333333,3,0.2727272727272727,3
diabetes130_admission,2,Availability Gate + SHAP,0.5612631917841443,0.1203357347843018,0.0191705816682281,0.910625,0.5016363730973263,0.8702605818454328,0.0803578052676266,0.0053285968028419,0.9979441493918108,0.2,0.9122944400939702,-1.1700182703920707,0.4908310152845697,5,0.16511869518214678,0.5900000000000001,0,0.0,0
diabetes130_admission,2,Semantic Veto + SHAP,0.5612631917841443,0.1203357347843018,0.0191705816682281,0.910625,0.5016363730973263,0.8702605818454328,0.0803578052676266,0.0053285968028419,0.9979441493918108,0.2,0.9122944400939702,-1.1700182703920707,0.4908310152845697,5,0.16511869518214678,0.5900000000000001,0,0.0,0
diabetes130_admission,2,PSEUL-Select,0.5683314715246737,0.1201239493913503,0.0030660232359107,0.9109375,0.5002028159310773,0.869825109415854,0.0802105463884781,0.0017761989342806,0.998629432927874,0.1111111111111111,0.9120638397746832,-1.0114975469822047,0.5588505642190544,5,0.13650333571835196,0.6,0,0.0,0
diabetes130_admission,2,PSEUL-Audit,0.633986472649062,0.1560091747647086,0.0617775231575607,0.91171875,0.5054457522919114,0.8719933671269859,0.0786674912052727,0.0124333925399644,0.998458112043858,0.4375,0.912907268170426,-0.564558028357118,0.7472893388796251,5,0.37782094406759564,0.5666666666666667,2,0.18181818181818182,2
diabetes130_admission,2,PSEUL-Auto (leakage metadata null),0.5683314715246737,0.1201239493913503,0.0030660232359107,0.9109375,0.5002028159310773,0.869825109415854,0.0802105463884781,0.0017761989342806,0.998629432927874,0.1111111111111111,0.9120638397746832,-1.0114975469822047,0.5588505642190544,5,0.13650333571835196,0.6,0,0.0,0
diabetes130_admission,2,Oracle Trap Exclusion + SHAP,0.558773257266455,0.1200485670674783,0.0064122155421579,0.91125,0.500374136815093,0.8699822875873248,0.0802045783978321,0.0017761989342806,0.9989720746959054,0.1428571428571428,0.9120913499139685,-1.1882385058196965,0.4823988364272317,5,0.13869421307896893,0.58,0,0.0,0
