method,metric,estimate,ci_low,ci_high,bootstrap_replicates,inference_method
All Features,auc,0.6358881255276085,0.6249602593319468,0.6468159917232703,0,DeLong
All Features,mcc,0.020342651669948735,0.002756020796423933,0.03821326361160194,2000,stratified binomial bootstrap
Availability Gate + SHAP,auc,0.5646492564126825,0.553293320667366,0.576005192157999,0,DeLong
Availability Gate + SHAP,mcc,0.020331793880878954,0.004620506432299544,0.0386216309625649,2000,stratified binomial bootstrap
LightGBM Gain,auc,0.5954387123314767,0.5840832123389282,0.6067942123240252,0,DeLong
LightGBM Gain,mcc,0.022191926852582932,0.004685722641109715,0.042522463071382924,2000,stratified binomial bootstrap
Mutual Information,auc,0.6288172525652288,0.6176069058956829,0.6400275992347747,0,DeLong
Mutual Information,mcc,0.02715542787371319,0.010856605923044802,0.04345322011355109,2000,stratified binomial bootstrap
Oracle Trap Exclusion + SHAP,auc,0.5658443639533182,0.5544483862612891,0.5772403416453472,0,DeLong
Oracle Trap Exclusion + SHAP,mcc,0.014835975701865185,2.7087419001263295e-05,0.030149718993827384,2000,stratified binomial bootstrap
PSEUL-Audit,auc,0.6283317699766996,0.6172553333237648,0.6394082066296344,0,DeLong
PSEUL-Audit,mcc,0.04423266068493881,0.024826224020654895,0.06313268821200507,2000,stratified binomial bootstrap
PSEUL-Auto (leakage metadata null),auc,0.5718121810012647,0.5604988086077364,0.5831255533947931,0,DeLong
PSEUL-Auto (leakage metadata null),mcc,0.026063923184282856,0.008594805768543675,0.0450339681270445,2000,stratified binomial bootstrap
PSEUL-Select,auc,0.5718121810012647,0.5604988086077364,0.5831255533947931,0,DeLong
PSEUL-Select,mcc,0.026063923184282856,0.009047177206327696,0.04425804028566383,2000,stratified binomial bootstrap
Permutation Importance,auc,0.6250374108030085,0.613742623568522,0.6363321980374949,0,DeLong
Permutation Importance,mcc,0.030086347892016526,0.013174210384146385,0.0485195565161855,2000,stratified binomial bootstrap
SHAP Ranking,auc,0.6242888540362247,0.6130087258396401,0.6355689822328093,0,DeLong
SHAP Ranking,mcc,0.0271727962099195,0.009319072327283021,0.04503826982149839,2000,stratified binomial bootstrap
Semantic Veto + SHAP,auc,0.5646492564126825,0.553293320667366,0.576005192157999,0,DeLong
Semantic Veto + SHAP,mcc,0.020331793880878954,0.004181184321370267,0.03705378075532201,2000,stratified binomial bootstrap
