reference,comparator,metric,delta_reference_minus_comparator,ci_low,ci_high,probability_delta_gt_zero,two_sided_bootstrap_p,bootstrap_replicates,inference_method,holm_adjusted_p
PSEUL-Select,All Features,auc,-0.0640759445263438,-0.07587901545039097,-0.05227287360229662,9.66967353704867e-27,1.933934707409734e-26,0,paired DeLong,1.933934707409734e-25
PSEUL-Select,All Features,mcc,0.006058328088972421,-0.01741450964891253,0.02947401193814875,0.6905,0.6196901549225388,2000,paired stratified multinomial bootstrap,1.0
PSEUL-Select,Availability Gate + SHAP,auc,0.0071629245885822534,0.00012963044240114213,0.014196218734763365,0.9770398246551599,0.045920350689680076,0,paired DeLong,0.1836814027587203
PSEUL-Select,Availability Gate + SHAP,mcc,0.0058355238871709665,-0.009625869372667606,0.02072419987303631,0.77,0.4607696151924038,2000,paired stratified multinomial bootstrap,1.0
PSEUL-Select,LightGBM Gain,auc,-0.023626531330211975,-0.03797263096064255,-0.0092804316997814,0.0006234783990360979,0.0012469567980721958,0,paired DeLong,0.006234783990360979
PSEUL-Select,LightGBM Gain,mcc,0.0038053441143888075,-0.020542637241403965,0.028297000283149843,0.62,0.7606196901549226,2000,paired stratified multinomial bootstrap,1.0
PSEUL-Select,Mutual Information,auc,-0.05700507156396406,-0.069660618072716,-0.04434952505521213,5.30276423926383e-19,1.060552847852766e-18,0,paired DeLong,8.484422782822128e-18
PSEUL-Select,Mutual Information,mcc,-0.0008076488404325543,-0.022146131096033386,0.019322541467491315,0.479,0.9585207396301849,2000,paired stratified multinomial bootstrap,1.0
PSEUL-Select,Oracle Trap Exclusion + SHAP,auc,0.0059678170479465775,-0.001602419936692634,0.013538054032585789,0.9388413295055786,0.12231734098884275,0,paired DeLong,0.2446346819776855
PSEUL-Select,Oracle Trap Exclusion + SHAP,mcc,0.011333995210272655,-0.0026058355569994686,0.025941843186799814,0.9505,0.09995002498750624,2000,paired stratified multinomial bootstrap,0.9995002498750625
PSEUL-Select,PSEUL-Audit,auc,-0.056519588975434853,-0.0684301339897238,-0.044609043961145914,6.965256534416901e-21,1.3930513068833802e-20,0,paired DeLong,1.2537461761950422e-19
PSEUL-Select,PSEUL-Audit,mcc,-0.017898724409798145,-0.04095203425273657,0.005524889704652714,0.069,0.13993003498250875,2000,paired stratified multinomial bootstrap,1.0
PSEUL-Select,PSEUL-Auto (leakage metadata null),auc,0.0,0.0,0.0,0.5,1.0,0,paired DeLong,1.0
PSEUL-Select,PSEUL-Auto (leakage metadata null),mcc,0.0,0.0,0.0,0.0,1.0,2000,paired stratified multinomial bootstrap,1.0
PSEUL-Select,Permutation Importance,auc,-0.05322522980174371,-0.06560000077363848,-0.040850458829848946,1.7257844294762624e-17,3.451568858952525e-17,0,paired DeLong,2.4160982012667674e-16
PSEUL-Select,Permutation Importance,mcc,-0.0038977351683766167,-0.025350135617757407,0.016738218130833638,0.3595,0.719640179910045,2000,paired stratified multinomial bootstrap,1.0
PSEUL-Select,SHAP Ranking,auc,-0.05247667303495995,-0.06470204298864761,-0.0402513030812723,1.9951521708225988e-17,3.9903043416451976e-17,0,paired DeLong,2.4160982012667674e-16
PSEUL-Select,SHAP Ranking,mcc,-0.0010849232422114902,-0.024142153848783033,0.021758853987245877,0.457,0.9225387306346826,2000,paired stratified multinomial bootstrap,1.0
PSEUL-Select,Semantic Veto + SHAP,auc,0.0071629245885822534,0.00012963044240114213,0.014196218734763365,0.9770398246551599,0.045920350689680076,0,paired DeLong,0.1836814027587203
PSEUL-Select,Semantic Veto + SHAP,mcc,0.005546989600205807,-0.009575889903979137,0.020672068964947766,0.7605,0.47976011994003,2000,paired stratified multinomial bootstrap,1.0
