study,fold,feature,raw_predictive_drop,predictive_utility,raw_shap_mean_abs,raw_shap_cv,shap_stability,evidence_relevance,clinical_utility,label_derived_risk,definitional_overlap,target_proxy_strength,semantic_risk_max,available_at_prediction,interpretation,leakage_risk,theta_l_mean,audit_score,pre_score,uncertainty_width,pseul_category,semantic_veto,admissible_for_selection,select_score,selection_order,selected,rejection_reason
diabetes130_admission,1,number_inpatient,0.02789466744189852,0.44476641300750325,0.12800309008152952,0.05829749039925473,0.9417025096007453,0.7250000000000001,0.5833333333333334,0.0,0.0,0.35,0.35,True,Prior-year history available at admission. Prior inpatient visits: strong operational proxy for readmission.,0.3374976334875001,0.57813318476258,0.6488537591557334,0.5951952134961295,0.00089103204847305,Domain-Supportive Feature,False,True,0.5951952134961295,1.0,True,
diabetes130_admission,1,age_ordinal,0.006581097539136205,0.10233556668870565,0.09638940786513833,0.14175156897408497,0.8582484310259151,0.85,0.7166666666666667,0.0,0.0,0.05,0.05,True,Age is a stable readmission risk factor.,0.11516219631002067,0.57813318476258,0.5940170228784614,0.5882735659834301,0.0002200256743307004,Clinically Actionable Feature,False,True,0.5857061714000094,2.0,True,
diabetes130_admission,1,admission_type_id,0.002955566074435523,0.04408658195846662,0.033516101595473545,0.14198944490804663,0.8580105550919533,0.525,0.55,0.0,0.0,0.1,0.1,True,Admission type is available at the admission landmark.,0.03920508428356232,0.57813318476258,0.45357808560593066,0.4515049594247351,0.00025726901614731755,Domain-Supportive Feature,False,True,0.4470036196819782,3.0,True,
diabetes130_admission,1,gender_male,0.0002115304349860144,0.0,0.023934164579262496,0.2716194460938952,0.7283805539061048,0.525,0.5499999999999999,0.0,0.0,0.05,0.05,True,Demographic stratifier.,0.023298950572769542,0.57813318476258,0.41442611078122094,0.4127991889498293,0.00029439353288482735,Domain-Supportive Feature,False,True,0.4071091432883817,4.0,True,
diabetes130_admission,1,number_outpatient,0.002405069304730952,0.0352421192238935,0.03417229680521874,0.46464390141379436,0.5353560985862056,0.55,0.5833333333333334,0.0,0.0,0.35,0.35,True,Prior-year history available at admission. Prior-year outpatient visits; utilization proxy.,0.12801652735706406,0.57813318476258,0.4009771888177426,0.3965701246969225,0.0002719774062519924,Domain-Supportive Feature,False,True,0.38911665541473206,5.0,True,
diabetes130_admission,1,number_emergency,0.00060053414071873,0.006249861885311772,0.018488308401791203,0.5354254350687693,0.4645745649312307,0.6,0.6,0.0,0.0,0.35,0.35,True,Prior-year history available at admission. Prior-year ED visits; utilization proxy.,0.16800322042966123,0.57813318476258,0.39478987155183964,0.38819690520904104,0.0015867806808047313,Low-Value Feature,False,True,0.37447031799655006,,False,not-in-final-subset
diabetes130_admission,1,admission_source_id,0.002388359494726104,0.03497365390307248,0.05652063542413129,0.3141693163786572,0.6858306836213428,0.45,0.5,0.1,0.15,0.35,0.35,True,Admission source; administrative context.,0.16735051721611008,0.57813318476258,0.3851582328951903,0.37887879016636233,0.0008751112587929313,Low-Value Feature,False,True,0.3670827158873455,,False,not-in-final-subset
diabetes130_admission,1,time_in_hospital,0.009622497842032706,0.15119970744347047,0.09658049233305542,0.011243654820830213,0.9887563451791698,0.7,0.5166666666666666,0.85,0.1,0.85,0.85,False,Unavailable at admission landmark. Length of stay; utilization signal.,0.5738008676294845,0.57813318476258,0.5472778479355418,0.0,0.0,Low-Value Feature,True,False,0.0,,False,post-landmark
diabetes130_admission,1,num_lab_procedures,0.007374164731525738,0.11507724586852358,0.09887746906256716,0.1406299276218618,0.8593700723781382,0.55,0.43333333333333335,0.85,0.05,0.85,0.85,False,Unavailable at admission landmark. Care-intensity proxy.,0.4917573730322682,0.57813318476258,0.4522305215695181,0.0,0.0,Domain-Supportive Feature,True,False,0.0,,False,post-landmark
diabetes130_admission,1,num_procedures,0.008738055467760986,0.136989964442941,0.04877779458159918,0.17376119952490868,0.8262388004750914,0.55,0.43333333333333335,0.85,0.05,0.85,0.85,False,Unavailable at admission landmark. Care-intensity proxy.,0.4459924491998611,0.57813318476258,0.45217808276123395,0.0,0.0,Domain-Supportive Feature,True,False,0.0,,False,post-landmark
