study,fold,method,features,n_features,avg_leakage_risk,avg_clinical_utility,designated_traps_selected,designated_trap_fraction,prediction_unavailable_selected
diabetes130_admission,1,All Features,"[""time_in_hospital"", ""num_lab_procedures"", ""num_procedures"", ""num_medications"", ""number_outpatient"", ""number_emergency"", ""number_inpatient"", ""number_diagnoses"", ""discharge_disposition_id"", ""admission_source_id"", ""admission_type_id"", ""age_ordinal"", ""gender_male"", ""a1c_ordinal"", ""max_glu_ordinal"", ""insulin_ordinal"", ""change_flag"", ""diabetesMed_flag""]",18,0.37386956635935925,0.5111111111111112,11,1.0,11
diabetes130_admission,1,Mutual Information,"[""discharge_disposition_id"", ""diabetesMed_flag"", ""number_inpatient"", ""change_flag"", ""time_in_hospital""]",5,0.5235177491528901,0.4833333333333334,4,0.36363636363636365,4
diabetes130_admission,1,LightGBM Gain,"[""num_lab_procedures"", ""num_medications"", ""discharge_disposition_id"", ""time_in_hospital"", ""age_ordinal""]",5,0.48040260970663445,0.5166666666666667,4,0.36363636363636365,4
diabetes130_admission,1,Permutation Importance,"[""discharge_disposition_id"", ""number_inpatient"", ""time_in_hospital"", ""num_lab_procedures"", ""num_medications""]",5,0.5248696971421304,0.49000000000000005,4,0.36363636363636365,4
diabetes130_admission,1,SHAP Ranking,"[""discharge_disposition_id"", ""number_inpatient"", ""time_in_hospital"", ""age_ordinal"", ""num_lab_procedures""]",5,0.4426036651314577,0.5333333333333333,3,0.2727272727272727,3
diabetes130_admission,1,Availability Gate + SHAP,"[""number_inpatient"", ""age_ordinal"", ""admission_source_id"", ""number_outpatient"", ""admission_type_id""]",5,0.1574463917308514,0.5866666666666667,0,0.0,0
diabetes130_admission,1,Semantic Veto + SHAP,"[""number_inpatient"", ""age_ordinal"", ""admission_source_id"", ""number_outpatient"", ""admission_type_id""]",5,0.1574463917308514,0.5866666666666667,0,0.0,0
diabetes130_admission,1,PSEUL-Select,"[""number_inpatient"", ""age_ordinal"", ""admission_type_id"", ""gender_male"", ""number_outpatient""]",5,0.12863607840218333,0.5966666666666667,0,0.0,0
diabetes130_admission,1,PSEUL-Audit,"[""discharge_disposition_id"", ""number_inpatient"", ""age_ordinal"", ""time_in_hospital"", ""number_diagnoses""]",5,0.465538683178287,0.54,3,0.2727272727272727,3
diabetes130_admission,1,PSEUL-Auto (leakage metadata null),"[""number_inpatient"", ""age_ordinal"", ""admission_type_id"", ""gender_male"", ""number_outpatient""]",5,0.12863607840218333,0.5966666666666667,0,0.0,0
