method,mean_pairwise_jaccard,min_pairwise_jaccard,n_outer_folds
All Features,1.0,1.0,5
Availability Gate + SHAP,0.7666666666666667,0.6666666666666666,5
LightGBM Gain,1.0,1.0,5
Mutual Information,0.46428571428571425,0.25,5
Oracle Trap Exclusion + SHAP,0.7666666666666667,0.6666666666666666,5
PSEUL-Audit,0.7666666666666666,0.6666666666666666,5
PSEUL-Auto (leakage metadata null),0.7666666666666666,0.6666666666666666,5
PSEUL-Select,0.7666666666666666,0.6666666666666666,5
Permutation Importance,0.4404761904761904,0.25,5
SHAP Ranking,0.6761904761904762,0.42857142857142855,5
Semantic Veto + SHAP,0.7666666666666667,0.6666666666666666,5
