feature,raw_predictive_drop,predictive_utility,raw_shap_mean_abs,raw_shap_cv,shap_stability,evidence_relevance,clinical_utility,label_derived_risk,definitional_overlap,target_proxy_strength,semantic_risk_max,available_at_prediction,interpretation,leakage_risk,theta_l_mean,audit_score,pre_score,uncertainty_width,pseul_category,semantic_veto,admissible_for_selection,select_score,selection_order,selected,rejection_reason
discharge_disposition_id,0.05886074968148918,0.9999830052709305,0.2467726605197448,0.03620972265803534,0.9637902773419647,0.65,0.5166666666666666,0.0,0.0,0.35,0.35,True,Available by discharge after death/hospice exclusions. Discharge disposition: encodes death/hospice; partly determines readmission.,0.2329733384042986,0.5,0.7844196237163388,0.7325478010654564,0.012350406437340242,Domain-Supportive Feature,False,True,0.7325478010654564,1.0,True,
a1c_ordinal,0.0032395906528592585,0.05471647704987466,0.03694738368897827,0.21826086988239934,0.7817391301176007,0.85,0.7833333333333333,0.05,0.05,0.15,0.15,True,HbA1c: actionable glycemic control marker.,0.08876159963529463,0.5,0.5810961024718159,0.5717338429874671,0.00029681076104823805,Clinically Actionable Feature,False,True,0.5708709997278315,2.0,True,
age_ordinal,0.007959157352940142,0.13492423444300666,0.0886069775481651,0.2480566622272916,0.7519433377727084,0.85,0.7166666666666667,0.0,0.0,0.05,0.05,True,Age is a stable readmission risk factor.,0.10323419763802272,0.5,0.5825326045541104,0.571683083664117,0.0009966013243243458,Clinically Actionable Feature,False,True,0.5573579899123186,3.0,True,
num_medications,0.00899556627484197,0.15253772327590198,0.07490619101354921,0.0701792652304878,0.9298207347695122,0.7,0.7333333333333334,0.05,0.1,0.3,0.3,True,Treatment burden; clinically meaningful.,0.1964062182134103,0.5,0.5900587972700064,0.5630059618579418,0.0009027896600030063,Clinically Actionable Feature,False,True,0.5519654292643987,4.0,True,
number_inpatient,0.026456744369073068,0.4492857142209937,0.13382659449116627,0.1005482287049041,0.8994517712950959,0.7250000000000001,0.5833333333333334,0.0,0.0,0.35,0.35,True,Available by discharge after death/hospice exclusions. Prior inpatient visits: strong operational proxy for readmission.,0.3374976339976327,0.5,0.6417594018586507,0.5361815020763494,1.7253001365548875e-07,Domain-Supportive Feature,False,True,0.5319733585995903,5.0,True,
time_in_hospital,0.014455773704922037,0.24533246921317906,0.10960144133755712,0.14668167443703964,0.8533183255629604,0.7,0.7000000000000001,0.05,0.1,0.35,0.35,True,Length of stay; utilization signal.,0.26576639097086857,0.5,0.5942634058765458,0.5421598431573251,0.000245098554896363,Clinically Actionable Feature,False,True,0.49518067360780677,,False,not-in-final-subset
num_lab_procedures,0.013948717962052814,0.23671519424000154,0.09873891786158882,0.07848814954558188,0.9215118504544181,0.55,0.5666666666666668,0.05,0.05,0.25,0.25,True,Care-intensity proxy.,0.16258228756104565,0.5,0.5344835950295508,0.5167666665589586,0.0009337965076265468,Domain-Supportive Feature,False,True,0.4905549462853622,,False,not-in-final-subset
number_diagnoses,0.004443296137622421,0.07517312564285067,0.06657250092492348,0.07847000026373903,0.9215299997362609,0.6499999999999999,0.6166666666666666,0.0,0.0,0.35,0.35,True,Available by discharge after death/hospice exclusions. Diagnosis count: proxy for case complexity / readmission.,0.19160923552000889,0.5,0.523524604306774,0.5005975106102669,0.0007616592649050039,Domain-Supportive Feature,False,True,0.4746961028257733,,False,not-in-final-subset
insulin_ordinal,0.00021794707614519737,0.0033644631191374376,0.02733575465560197,0.2833573414106369,0.716642658589363,0.7,0.7000000000000001,0.05,0.1,0.25,0.25,True,Insulin regimen change; actionable.,0.14135706813742288,0.5,0.4943378706536139,0.4809795796129365,0.0010991332127158393,Clinically Actionable Feature,False,True,0.46192492361766746,,False,not-in-final-subset
diabetesMed_flag,0.0038673353890071645,0.06538482876548957,0.08035106383606429,0.2659498692962195,0.7340501307037806,0.65,0.65,0.05,0.1,0.25,0.25,True,On diabetes medication; actionable.,0.16507173686870422,0.5,0.491425474770403,0.4747162730746129,0.0013502480032929855,Domain-Supportive Feature,False,True,0.455849760495074,,False,not-in-final-subset
change_flag,0.0007976216939610999,0.013215876197362945,0.01229404679575113,0.13083251289687914,0.8691674871031209,0.6,0.6166666666666667,0.05,0.1,0.25,0.25,True,Medication change; actionable.,0.13072563350740615,0.5,0.4819649269464997,0.47024230857932486,0.0005924562818328124,Domain-Supportive Feature,False,True,0.4456407462078471,,False,not-in-final-subset
max_glu_ordinal,0.0004892131666860497,0.007974556833611517,0.00767860635744938,0.5222199121017725,0.47778008789822746,0.7,0.6833333333333332,0.05,0.05,0.2,0.2,True,Serum glucose: clinical marker.,0.08977144426327359,0.5,0.4437817179630622,0.43655656032753226,0.00035205199649436113,Clinically Relevant but Weak Predictor,False,True,0.4328806731911863,,False,not-in-final-subset
admission_type_id,0.005071684396570871,0.08585241385411085,0.03384997253394801,0.2831116828948107,0.7168883171051893,0.525,0.55,0.0,0.0,0.1,0.1,True,Admission type is available at the admission landmark.,0.03405164250039177,0.5,0.43788338757727113,0.4337633217799264,0.00035665143077066505,Domain-Supportive Feature,False,True,0.4230127883328753,,False,not-in-final-subset
admission_source_id,0.0024034872680066322,0.04050712655024371,0.03160778038009652,0.03205654483226659,0.9679434551677334,0.45,0.5,0.1,0.15,0.35,0.35,True,Admission source; administrative context.,0.15829850251795227,0.5,0.44324082899861983,0.4291282015375486,0.0010931824132941635,Low-Value Feature,False,True,0.4226189026481191,,False,not-in-final-subset
