study,fold,method,auc,average_precision,mcc,accuracy,balanced_accuracy,f1_weighted,brier,sensitivity,specificity,ppv,npv,calibration_intercept,calibration_slope,n_features,avg_leakage_risk,avg_clinical_utility,designated_traps_selected,designated_trap_fraction,prediction_unavailable_selected
diabetes130_discharge,1,All Features,0.624675699824528,0.1520839775462018,0.0359111492199201,0.9103125,0.5015705159258449,0.8681808121975291,0.0801672067939382,0.0034843205574912,0.9996567112941984,0.5,0.9105691056910568,-0.5989999197173085,0.724797185053749,18,0.16527947532789883,0.6240740740740741,0,,0
diabetes130_discharge,1,Mutual Information,0.6046592470853354,0.1403190009222362,0.0321220879713111,0.909375,0.5026260987929874,0.8682981123173148,0.0810686413462673,0.0069686411149825,0.998283556470992,0.2857142857142857,0.9107422486689634,-0.8225731321586707,0.6321225374179433,5,0.20062935108591445,0.6333333333333334,0,,0
diabetes130_discharge,1,LightGBM Gain,0.5893359516572949,0.1299958719398488,0.002813638577132,0.90921875,0.5001845027277697,0.867328732538988,0.0814654324867509,0.0017421602787456,0.9986268451767936,0.1111111111111111,0.910342669378814,-1.039034851572342,0.5374822016730819,5,0.20064029404464456,0.6466666666666667,0,,0
diabetes130_discharge,1,Permutation Importance,0.6114054084118891,0.1370486205668695,-0.0096152374852179,0.909375,0.4994850669412976,0.8671061783960721,0.0811431216549397,0.0,0.9989701338825951,0.0,0.910228339067876,-0.8508680237993802,0.6166151457497325,5,0.2353384870636468,0.6500000000000001,0,,0
diabetes130_discharge,1,SHAP Ranking,0.6096834327913678,0.146927153850296,0.0061574259629996,0.90953125,0.5003561470806704,0.8674858770954182,0.0806512203311356,0.0017421602787456,0.9989701338825951,0.1428571428571428,0.9103707179727828,-0.7874443954486765,0.6453383800785462,5,0.22669996393419015,0.6166666666666668,0,,0
diabetes130_discharge,1,Availability Gate + SHAP,0.6096834327913678,0.146927153850296,0.0061574259629996,0.90953125,0.5003561470806704,0.8674858770954182,0.0806512203311356,0.0017421602787456,0.9989701338825951,0.1428571428571428,0.9103707179727828,-0.7874443954486765,0.6453383800785462,5,0.22669996393419015,0.6166666666666668,0,,0
diabetes130_discharge,1,Semantic Veto + SHAP,0.6096834327913678,0.146927153850296,0.0061574259629996,0.90953125,0.5003561470806704,0.8674858770954182,0.0806512203311356,0.0017421602787456,0.9989701338825951,0.1428571428571428,0.9103707179727828,-0.7874443954486765,0.6453383800785462,5,0.22669996393419015,0.6166666666666668,0,,0
diabetes130_discharge,1,PSEUL-Select,0.6067527699331724,0.1421675816473451,0.0043721380180757,0.909375,0.5002703249042201,0.8674073102948214,0.0809518509048041,0.0017421602787456,0.9987984895296944,0.125,0.9103566958698373,-0.8703635718933433,0.6118294294526978,5,0.2137724154266824,0.66,0,,0
diabetes130_discharge,1,PSEUL-Audit,0.6067527699331724,0.1421675816473451,0.0043721380180757,0.909375,0.5002703249042201,0.8674073102948214,0.0809518509048041,0.0017421602787456,0.9987984895296944,0.125,0.9103566958698373,-0.8703635718933433,0.6118294294526978,5,0.2137724154266824,0.66,0,,0
diabetes130_discharge,1,PSEUL-Auto (leakage metadata null),0.6067527699331724,0.1421675816473451,0.0043721380180757,0.909375,0.5002703249042201,0.8674073102948214,0.0809518509048041,0.0017421602787456,0.9987984895296944,0.125,0.9103566958698373,-0.8703635718933433,0.6118294294526978,5,0.2137724154266824,0.66,0,,0
diabetes130_discharge,1,Oracle Trap Exclusion + SHAP,0.6096834327913678,0.146927153850296,0.0061574259629996,0.90953125,0.5003561470806704,0.8674858770954182,0.0806512203311356,0.0017421602787456,0.9989701338825951,0.1428571428571428,0.9103707179727828,-0.7874443954486765,0.6453383800785462,5,0.22669996393419015,0.6166666666666668,0,,0
diabetes130_discharge,2,All Features,0.6446166469903628,0.1734824099007785,0.0789408907534545,0.910625,0.5064537080562802,0.8701146900784552,0.0792705876220789,0.0139372822299651,0.9989701338825951,0.5714285714285714,0.9113686188537424,-0.3277947832133196,0.8438906092633531,18,0.16555183040543817,0.6240740740740741,0,,0
diabetes130_discharge,2,Mutual Information,0.6186132751058274,0.1593987966130313,0.0794202514023552,0.91046875,0.5071531438427522,0.8703207750024634,0.0800878703245793,0.0156794425087108,0.9986268451767936,0.5294117647058824,0.9114836283879054,-0.6879916048372717,0.6915868011735651,5,0.19841177069469734,0.6066666666666667,0,,0
diabetes130_discharge,2,LightGBM Gain,0.6144186040948242,0.1447410586373249,0.0369577859402532,0.9096875,0.5027977431458881,0.8684584169763226,0.0806135910584807,0.0069686411149825,0.9986268451767936,0.3333333333333333,0.9107701941139636,-0.7385964562306621,0.6663686681379946,5,0.21596585506265428,0.6266666666666667,0,,0
diabetes130_discharge,2,Permutation Importance,0.6223993189247767,0.1545696715261328,0.0369577859402532,0.9096875,0.5027977431458881,0.8684584169763226,0.080247969391821,0.0069686411149825,0.9986268451767936,0.3333333333333333,0.9107701941139636,-0.6364160094124591,0.7075015618511639,5,0.2330027248984201,0.6500000000000001,0,,0
diabetes130_discharge,2,SHAP Ranking,0.6332903624387134,0.1515639375566754,0.0510080204148991,0.909375,0.5049818726817547,0.8691704685447518,0.0805864827344706,0.0121951219512195,0.9977686234122898,0.35,0.911128526645768,-0.6344533272313818,0.7110634289943828,5,0.2272649000567363,0.6166666666666668,0,,0
diabetes130_discharge,2,Availability Gate + SHAP,0.6332903624387134,0.1515639375566754,0.0510080204148991,0.909375,0.5049818726817547,0.8691704685447518,0.0805864827344706,0.0121951219512195,0.9977686234122898,0.35,0.911128526645768,-0.6344533272313818,0.7110634289943828,5,0.2272649000567363,0.6166666666666668,0,,0
diabetes130_discharge,2,Semantic Veto + SHAP,0.6332903624387134,0.1515639375566754,0.0510080204148991,0.909375,0.5049818726817547,0.8691704685447518,0.0805864827344706,0.0121951219512195,0.9977686234122898,0.35,0.911128526645768,-0.6344533272313818,0.7110634289943828,5,0.2272649000567363,0.6166666666666668,0,,0
diabetes130_discharge,2,PSEUL-Select,0.6123720292668574,0.1509359395172254,0.0369577859402532,0.9096875,0.5027977431458881,0.8684584169763226,0.0805175755498049,0.0069686411149825,0.9986268451767936,0.3333333333333333,0.9107701941139636,-0.734825732488295,0.6680497680474137,5,0.19953341420638737,0.6666666666666667,0,,0
diabetes130_discharge,2,PSEUL-Audit,0.6123720292668574,0.1509359395172254,0.0369577859402532,0.9096875,0.5027977431458881,0.8684584169763226,0.0805175755498049,0.0069686411149825,0.9986268451767936,0.3333333333333333,0.9107701941139636,-0.734825732488295,0.6680497680474137,5,0.19953341420638737,0.6666666666666667,0,,0
diabetes130_discharge,2,PSEUL-Auto (leakage metadata null),0.6123720292668574,0.1509359395172254,0.0369577859402532,0.9096875,0.5027977431458881,0.8684584169763226,0.0805175755498049,0.0069686411149825,0.9986268451767936,0.3333333333333333,0.9107701941139636,-0.734825732488295,0.6680497680474137,5,0.19953341420638737,0.6666666666666667,0,,0
diabetes130_discharge,2,Oracle Trap Exclusion + SHAP,0.6332903624387134,0.1515639375566754,0.0510080204148991,0.909375,0.5049818726817547,0.8691704685447518,0.0805864827344706,0.0121951219512195,0.9977686234122898,0.35,0.911128526645768,-0.6344533272313818,0.7110634289943828,5,0.2272649000567363,0.6166666666666668,0,,0
diabetes130_discharge,3,All Features,0.6418927647419772,0.1606966422680302,0.0303670626591015,0.91015625,0.5014846937493945,0.8681017543876385,0.0797186515286519,0.0034843205574912,0.9994850669412976,0.4,0.9105551211884284,-0.3646275236700078,0.8250369179646064,18,0.15685826434109043,0.6240740740740741,0,,0
diabetes130_discharge,3,Mutual Information,0.6130285539651043,0.1499103335063747,0.0495983283738584,0.91,0.5037546454617113,0.868913578163256,0.0805022684234861,0.0087108013937282,0.9987984895296944,0.4166666666666667,0.910926737633062,-0.662291285318767,0.7027697574062495,5,0.17839512693226442,0.5599999999999999,0,,0
diabetes130_discharge,3,LightGBM Gain,0.625539902228506,0.1476446942168212,0.0563277201851844,0.910625,0.5017421602787456,0.8683389007053519,0.0803295580233794,0.0034843205574912,1.0,1.0,0.9105970615817442,-0.4397125807920203,0.8012540835247238,5,0.1807730206075123,0.6466666666666667,0,,0
diabetes130_discharge,3,Permutation Importance,0.6287247422643418,0.1599446710941851,0.049938986225894,0.91046875,0.5024415960652177,0.8685605308941162,0.0799035824318546,0.0052264808362369,0.9996567112941984,0.6,0.910711493354183,-0.450281726852531,0.7908489978363464,5,0.21131728288155224,0.5900000000000001,0,,0
diabetes130_discharge,3,SHAP Ranking,0.634625988749221,0.1599023295592574,0.0577915143196429,0.910625,0.5025274182416681,0.8686401125034611,0.0798641446756399,0.0052264808362369,0.9998283556470992,0.75,0.9107254534083804,-0.4396828238647784,0.7973101607319519,5,0.21084435542726307,0.6166666666666668,0,,0
diabetes130_discharge,3,Availability Gate + SHAP,0.634625988749221,0.1599023295592574,0.0577915143196429,0.910625,0.5025274182416681,0.8686401125034611,0.0798641446756399,0.0052264808362369,0.9998283556470992,0.75,0.9107254534083804,-0.4396828238647784,0.7973101607319519,5,0.21084435542726307,0.6166666666666668,0,,0
diabetes130_discharge,3,Semantic Veto + SHAP,0.634625988749221,0.1599023295592574,0.0577915143196429,0.910625,0.5025274182416681,0.8686401125034611,0.0798641446756399,0.0052264808362369,0.9998283556470992,0.75,0.9107254534083804,-0.4396828238647784,0.7973101607319519,5,0.21084435542726307,0.6166666666666668,0,,0
diabetes130_discharge,3,PSEUL-Select,0.6398766911753273,0.1608592676830179,0.034421364083892,0.90953125,0.5027119209694377,0.8683782674917991,0.0799214804407387,0.0069686411149825,0.9984552008238928,0.3076923076923077,0.9107562235791452,-0.4777152560432687,0.7805838203198677,5,0.19840112552914166,0.66,0,,0
diabetes130_discharge,3,PSEUL-Audit,0.6398766911753273,0.1608592676830179,0.034421364083892,0.90953125,0.5027119209694377,0.8683782674917991,0.0799214804407387,0.0069686411149825,0.9984552008238928,0.3076923076923077,0.9107562235791452,-0.4777152560432687,0.7805838203198677,5,0.19840112552914163,0.66,0,,0
diabetes130_discharge,3,PSEUL-Auto (leakage metadata null),0.6398766911753273,0.1608592676830179,0.034421364083892,0.90953125,0.5027119209694377,0.8683782674917991,0.0799214804407387,0.0069686411149825,0.9984552008238928,0.3076923076923077,0.9107562235791452,-0.4777152560432687,0.7805838203198677,5,0.19840112552914163,0.66,0,,0
diabetes130_discharge,3,Oracle Trap Exclusion + SHAP,0.634625988749221,0.1599023295592574,0.0577915143196429,0.910625,0.5025274182416681,0.8686401125034611,0.0798641446756399,0.0052264808362369,0.9998283556470992,0.75,0.9107254534083804,-0.4396828238647784,0.7973101607319519,5,0.21084435542726307,0.6166666666666668,0,,0
diabetes130_discharge,4,All Features,0.6665186458396877,0.1811286525449544,0.0495983283738584,0.91,0.5037546454617113,0.868913578163256,0.0786548004925798,0.0087108013937282,0.9987984895296944,0.4166666666666667,0.910926737633062,-0.0864801038808205,0.9612158302568068,18,0.16155615674930132,0.6240740740740741,0,,0
diabetes130_discharge,4,Mutual Information,0.6516939862277834,0.1647302913929836,0.0133789789781033,0.90921875,0.5009697606906921,0.8676272163446233,0.0797262955641579,0.0034843205574912,0.9984552008238928,0.1818181818181818,0.9104711222413524,-0.4001965320161776,0.8250924396910986,5,0.21987397974230488,0.64,0,,0
diabetes130_discharge,4,LightGBM Gain,0.624594363127683,0.1491886182545082,0.0392451893242069,0.91015625,0.5022699517123169,0.8684013459928592,0.0802732537483686,0.0052264808362369,0.9993134225883968,0.4285714285714285,0.9106835601439074,-0.5018101238861082,0.7777166995949794,5,0.19051195325046952,0.6466666666666667,0,,0
diabetes130_discharge,4,Permutation Importance,0.6537673244173959,0.1708687770256798,0.0508019222808266,0.9103125,0.5031410318516897,0.868778958809013,0.0793194175316167,0.0069686411149825,0.9993134225883968,0.5,0.9108260325406758,-0.2963298279306655,0.8680374199606806,5,0.22491332331240269,0.6500000000000001,0,,0
