method,metric,estimate,ci_low,ci_high,bootstrap_replicates,inference_method
All Features,auc,0.6416460813055975,0.6308087942411403,0.6524833683700547,0,DeLong
All Features,mcc,0.047706603329976595,0.026010083979724034,0.06792528803335311,2000,stratified binomial bootstrap
Availability Gate + SHAP,auc,0.6277809554908849,0.6166509818566821,0.6389109291250876,0,DeLong
Availability Gate + SHAP,mcc,0.038926991807304884,0.019918221287670308,0.059363267296829274,2000,stratified binomial bootstrap
LightGBM Gain,auc,0.6102419886343927,0.599133299345482,0.6213506779233035,0,DeLong
LightGBM Gain,mcc,0.028616628516216436,0.010359745874332844,0.04859474303706491,2000,stratified binomial bootstrap
Mutual Information,auc,0.6212122756213585,0.6099186770082503,0.6325058742344667,0,DeLong
Mutual Information,mcc,0.04088597765165297,0.022728342208144476,0.06021909456319526,2000,stratified binomial bootstrap
Oracle Trap Exclusion + SHAP,auc,0.6277809554908849,0.6166509818566821,0.6389109291250876,0,DeLong
Oracle Trap Exclusion + SHAP,mcc,0.038926991807304884,0.01939253130748258,0.05605651745063631,2000,stratified binomial bootstrap
PSEUL-Audit,auc,0.6283579855292447,0.6171764352930406,0.6395395357654489,0,DeLong
PSEUL-Audit,mcc,0.03742436909691446,0.018284451915593015,0.05680955843911469,2000,stratified binomial bootstrap
PSEUL-Auto (leakage metadata null),auc,0.6225859088957227,0.6113599609057031,0.6338118568857424,0,DeLong
PSEUL-Auto (leakage metadata null),mcc,0.03714182785688093,0.01847196922350114,0.056374822075378625,2000,stratified binomial bootstrap
PSEUL-Select,auc,0.6189999055058963,0.6078178779501379,0.6301819330616548,0,DeLong
PSEUL-Select,mcc,0.027943512680326354,0.01056277591977584,0.045731281081431895,2000,stratified binomial bootstrap
Permutation Importance,auc,0.6257318807556179,0.6146304592048127,0.6368333023064231,0,DeLong
Permutation Importance,mcc,0.034375493698195085,0.01556643452278725,0.05371488774061465,2000,stratified binomial bootstrap
SHAP Ranking,auc,0.6277809554908849,0.6166509818566821,0.6389109291250876,0,DeLong
SHAP Ranking,mcc,0.038926991807304884,0.01984873277232603,0.05793398057013576,2000,stratified binomial bootstrap
Semantic Veto + SHAP,auc,0.6277809554908849,0.6166509818566821,0.6389109291250876,0,DeLong
Semantic Veto + SHAP,mcc,0.038926991807304884,0.01937598939039205,0.05824870405965486,2000,stratified binomial bootstrap
