reference,comparator,metric,delta_reference_minus_comparator,ci_low,ci_high,probability_delta_gt_zero,two_sided_bootstrap_p,bootstrap_replicates,inference_method,holm_adjusted_p
PSEUL-Select,All Features,auc,-0.022646175799701185,-0.031226651563259433,-0.014065700036142936,1.1520382264094403e-07,2.3040764528188806e-07,0,paired DeLong,2.3040764528188803e-06
PSEUL-Select,All Features,mcc,-0.019592934891490485,-0.03866777389033337,9.321207065980207e-05,0.026,0.053973013493253376,2000,paired stratified multinomial bootstrap,0.4857571214392804
PSEUL-Select,Availability Gate + SHAP,auc,-0.00878104998498852,-0.01736611768750994,-0.00019598228246709912,0.02249524213906201,0.04499048427812402,0,paired DeLong,0.31493338994686815
PSEUL-Select,Availability Gate + SHAP,mcc,-0.010979256436326525,-0.03391444579748523,0.011279531538158461,0.1675,0.3468265867066467,2000,paired stratified multinomial bootstrap,1.0
PSEUL-Select,LightGBM Gain,auc,0.008757916871503624,-0.001166341794323152,0.018682175537330398,0.9581537942607596,0.08369241147848075,0,paired DeLong,0.31493338994686815
PSEUL-Select,LightGBM Gain,mcc,-0.0005210907520584007,-0.025959461318403192,0.023563219662813464,0.49,0.9875062468765617,2000,paired stratified multinomial bootstrap,1.0
PSEUL-Select,Mutual Information,auc,-0.002212370115462159,-0.011500303695999104,0.007075563465074786,0.32029691206113486,0.6405938241222697,0,paired DeLong,0.6405938241222697
PSEUL-Select,Mutual Information,mcc,-0.012855649461864446,-0.036109156735987094,0.01002659137955778,0.138,0.27886056971514245,2000,paired stratified multinomial bootstrap,1.0
PSEUL-Select,Oracle Trap Exclusion + SHAP,auc,-0.00878104998498852,-0.01736611768750994,-0.00019598228246709912,0.02249524213906201,0.04499048427812402,0,paired DeLong,0.31493338994686815
PSEUL-Select,Oracle Trap Exclusion + SHAP,mcc,-0.010904305942428678,-0.033488239324833836,0.012060926560721006,0.1775,0.36081959020489757,2000,paired stratified multinomial bootstrap,1.0
PSEUL-Select,PSEUL-Audit,auc,-0.00935808002334837,-0.014301641607299465,-0.004414518439397275,0.00010352837437982304,0.0002070567487596461,0,paired DeLong,0.0018635107388368147
PSEUL-Select,PSEUL-Audit,mcc,-0.009931909847090156,-0.024003565106047873,0.0029309716643318873,0.063,0.14192903548225888,2000,paired stratified multinomial bootstrap,1.0
PSEUL-Select,PSEUL-Auto (leakage metadata null),auc,-0.0035860033898263977,-0.006757822893926067,-0.00041418388572672877,0.013347752546988886,0.02669550509397777,0,paired DeLong,0.21356404075182217
PSEUL-Select,PSEUL-Auto (leakage metadata null),mcc,-0.00930201990116459,-0.019985700062710398,-0.000624502785170207,0.0155,0.031984007996002,2000,paired stratified multinomial bootstrap,0.31984007996001995
PSEUL-Select,Permutation Importance,auc,-0.006731975249721578,-0.014593845723282284,0.0011298952238391283,0.04664310416995426,0.09328620833990851,0,paired DeLong,0.31493338994686815
PSEUL-Select,Permutation Importance,mcc,-0.0061225334435617085,-0.024610385199116503,0.013054135942425943,0.267,0.5387306346826587,2000,paired stratified multinomial bootstrap,1.0
PSEUL-Select,SHAP Ranking,auc,-0.00878104998498852,-0.01736611768750994,-0.00019598228246709912,0.02249524213906201,0.04499048427812402,0,paired DeLong,0.31493338994686815
PSEUL-Select,SHAP Ranking,mcc,-0.01111220001681564,-0.033516796514266776,0.01105533994228717,0.165,0.33883058470764615,2000,paired stratified multinomial bootstrap,1.0
PSEUL-Select,Semantic Veto + SHAP,auc,-0.00878104998498852,-0.01736611768750994,-0.00019598228246709912,0.02249524213906201,0.04499048427812402,0,paired DeLong,0.31493338994686815
PSEUL-Select,Semantic Veto + SHAP,mcc,-0.01093652140793094,-0.032674234001398066,0.011908080050417632,0.1615,0.33383308345827084,2000,paired stratified multinomial bootstrap,1.0
