study,fold,feature,raw_predictive_drop,predictive_utility,raw_shap_mean_abs,raw_shap_cv,shap_stability,evidence_relevance,clinical_utility,label_derived_risk,definitional_overlap,target_proxy_strength,semantic_risk_max,available_at_prediction,interpretation,leakage_risk,theta_l_mean,audit_score,pre_score,uncertainty_width,pseul_category,semantic_veto,admissible_for_selection,select_score,selection_order,selected,rejection_reason
diabetes130_discharge,1,discharge_disposition_id,0.05521707396223393,0.9999818543082591,0.24956297866954127,0.03734067656760244,0.9626593234323976,0.65,0.5166666666666666,0.0,0.0,0.35,0.35,True,Available by discharge after death/hospice exclusions. Discharge disposition: encodes death/hospice; partly determines readmission.,0.24484430128915832,0.5,0.7841930876456239,0.7258661390528726,0.016947713877660045,Domain-Supportive Feature,False,True,0.7258661390528726,1.0,True,
diabetes130_discharge,1,age_ordinal,0.007190962894210374,0.12851484735900992,0.10346555897539707,0.1244249783497407,0.8755750216502594,0.85,0.7166666666666667,0.0,0.0,0.05,0.05,True,Age is a stable readmission risk factor.,0.10986253683631796,0.5,0.6053361252044216,0.5931536388005264,0.0025309463723556446,Clinically Actionable Feature,False,True,0.583415387855783,2.0,True,
diabetes130_discharge,1,time_in_hospital,0.017706169944154415,0.31932055307786555,0.12508039153944908,0.05749372625831332,0.9425062737416867,0.7,0.7000000000000001,0.05,0.1,0.35,0.35,True,Length of stay; utilization signal.,0.27728858948381013,0.5,0.634297420671697,0.5718108981411537,0.0113201081430068,Clinically Actionable Feature,False,True,0.5552024060879214,3.0,True,
diabetes130_discharge,1,number_inpatient,0.02624106578826142,0.4741921421047722,0.13224799198221351,0.15886922229916736,0.8411307777008327,0.7250000000000001,0.5833333333333334,0.0,0.0,0.35,0.35,True,Available by discharge after death/hospice exclusions. Prior inpatient visits: strong operational proxy for readmission.,0.33749767857833785,0.5,0.6375671315049316,0.532678876511817,2.4773971177960487e-07,Domain-Supportive Feature,False,True,0.5269970571104535,4.0,True,
diabetes130_discharge,1,a1c_ordinal,0.0009813892928312103,0.015837838946642754,0.05164894068187011,0.41150998355627094,0.588490016443729,0.85,0.7833333333333333,0.05,0.05,0.15,0.15,True,HbA1c: actionable glycemic control marker.,0.09936897094578817,0.5,0.5307826883060719,0.5212568962205996,0.0009505092522624765,Clinically Actionable Feature,False,True,0.5069020500916754,5.0,True,
diabetes130_discharge,1,max_glu_ordinal,0.00010857390651879406,0.0,0.007230906804120506,0.33653051494064634,0.6634694850593537,0.7,0.6833333333333332,0.05,0.05,0.2,0.2,True,Serum glucose: clinical marker.,0.0817019838539152,0.5,0.47852723034520406,0.47133276224587556,0.0003081886776399768,Domain-Supportive Feature,False,True,0.46782277359974445,,False,not-in-final-subset
diabetes130_discharge,1,num_lab_procedures,0.007044883997984175,0.12586414473825464,0.11449007938182289,0.014533796219079945,0.9854662037809201,0.55,0.5666666666666668,0.05,0.05,0.25,0.25,True,Care-intensity proxy.,0.16400671348332665,0.5,0.5140191508443271,0.4966039332153498,0.002739934104117003,Domain-Supportive Feature,False,True,0.4641462878838027,,False,not-in-final-subset
diabetes130_discharge,1,diabetesMed_flag,0.001699795002178369,0.02887380749327914,0.06958034263722303,0.2416881124417789,0.7583118875582211,0.65,0.65,0.05,0.1,0.25,0.25,True,On diabetes medication; actionable.,0.16322389910173454,0.5,0.485324519759628,0.4691534414430012,0.0001923983285162967,Domain-Supportive Feature,False,True,0.45920116534742683,,False,not-in-final-subset
diabetes130_discharge,1,number_diagnoses,0.003945734192162635,0.06962792770329093,0.0660360641431551,0.1740262685608127,0.8259737314391873,0.6499999999999999,0.6166666666666666,0.0,0.0,0.35,0.35,True,Available by discharge after death/hospice exclusions. Diagnosis count: proxy for case complexity / readmission.,0.19788454803685532,0.5,0.5027497912654914,0.4792486807599965,0.002975918899810256,Domain-Supportive Feature,False,True,0.4542770527655982,,False,not-in-final-subset
diabetes130_discharge,1,insulin_ordinal,0.0011213097862788604,0.018376793088962895,0.03577020716726952,0.3794143954098643,0.6205856045901357,0.7,0.7000000000000001,0.05,0.1,0.25,0.25,True,Insulin regimen change; actionable.,0.14771833962402417,0.5,0.47963015884471605,0.4658268530295458,0.0014045180885674808,Clinically Actionable Feature,False,True,0.45336530213610066,,False,not-in-final-subset
