feature,raw_predictive_drop,predictive_utility,raw_shap_mean_abs,raw_shap_cv,shap_stability,evidence_relevance,clinical_utility,label_derived_risk,definitional_overlap,target_proxy_strength,semantic_risk_max,available_at_prediction,interpretation,leakage_risk,theta_l_mean,audit_score,pre_score,uncertainty_width,pseul_category,semantic_veto,admissible_for_selection,select_score,selection_order,selected,rejection_reason
age,0.025898277478821726,0.16120656645594103,0.6499533425639544,0.12022368941448248,0.8797763105855175,0.9,0.7333333333333333,0.0,0.0,0.05,0.05,True,Age is a stable diabetes risk factor.,0.11267535449062292,0.5,0.6326505653872192,0.6197592694636148,0.0004443649931716954,Clinically Actionable Feature,False,True,0.6197592694636148,1.0,True,
bmi,0.0027730892582930045,0.01726138729383967,0.24520455919416004,0.12071471376332024,0.8792852862366798,0.9,0.8666666666666667,0.0,0.0,0.15,0.15,True,BMI is clinically actionable for diabetes prevention.,0.1167146919773564,0.5,0.6227021401021545,0.6094821619279892,0.0009516498621757502,Clinically Actionable Feature,False,True,0.6084944882351341,2.0,True,
prediabetes_told,0.02303658583628501,0.14339366425322686,0.5682904619281182,0.05206205685102017,0.9479379431489798,0.825,0.7833333333333333,0.1,0.3,0.65,0.65,True,Prediabetes self-report is close to diabetes label.,0.2909565657697201,0.5,0.6346890212390973,0.5648198889743455,0.0026652874898650215,Clinically Actionable Feature,False,True,0.554040520632248,3.0,True,
sedentary_minutes,0.002817057261793258,0.017535070780472894,0.20983709099623257,0.09980307690458204,0.900196923095418,0.65,0.7166666666666668,0.0,0.0,0.1,0.1,True,Behavioral intervention target.,0.03230093861504513,0.5,0.5269665725198922,0.5220982073095718,0.0003422372089464848,Domain-Supportive Feature,False,True,0.5186481138156465,4.0,True,
total_cholesterol,0.01315460261508458,0.08188221484630596,0.4226367883847144,0.03295678618923965,0.9670432138107603,0.55,0.65,0.0,0.0,0.15,0.15,True,Metabolic risk marker.,0.09437100662301573,0.5,0.5179733072160438,0.5091398201536569,0.0006574335483221774,Domain-Supportive Feature,False,True,0.505298235173307,5.0,True,
diastolic_bp,0.004583195584592615,0.02852858550891622,0.2427802171311112,0.023419878153131766,0.9765801218468683,0.6,0.6833333333333332,0.0,0.0,0.1,0.1,True,Cardiometabolic risk marker.,0.02999726220477354,0.5,0.5247079333553818,0.5199761019289312,0.00017819223241475444,Domain-Supportive Feature,False,True,0.49951302713036805,6.0,True,
waist,0.004643825407048204,0.028905982249332315,0.30850181024333095,0.1647724479208462,0.8352275520791538,0.85,0.8166666666666668,0.0,0.0,0.15,0.15,True,Central adiposity risk marker.,0.1330231440034236,0.5,0.5923839717572972,0.5776447211417667,0.0008682258464493364,Clinically Actionable Feature,False,True,0.49247222559561893,7.0,True,
race_ethnicity,0.0016299415438472131,0.010145743477432976,0.10619505405625747,0.11051168662224568,0.8894883133777544,0.625,0.5833333333333334,0.0,0.0,0.05,0.05,True,Race/ethnicity is a population risk descriptor.,0.012500000000000002,0.5,0.4830247190521141,0.47936472421751547,6.281678108852975e-17,Domain-Supportive Feature,False,True,0.47410403437221865,8.0,True,
hdl_cholesterol,0.0012089229371045655,0.007525068644423418,0.14482761587132675,0.10359753825898582,0.8964024617410142,0.6,0.6666666666666666,0.0,0.0,0.15,0.15,True,Metabolic risk marker.,0.10195136015916935,0.5,0.4982046796081965,0.4890585024242169,0.0005421101558393213,Domain-Supportive Feature,False,True,0.45685482164607133,,False,not-in-final-subset
systolic_bp,0.001244494046089654,0.007746484773322547,0.14488493728307175,0.17242505616630774,0.8275749438336922,0.65,0.7166666666666668,0.0,0.0,0.1,0.1,True,Cardiometabolic risk marker.,0.07213232701823215,0.5,0.509505600865402,0.502535117552963,0.00029341779684596153,Domain-Supportive Feature,False,True,0.4414800591032284,,False,not-in-final-subset
