study,fold,method,auc,average_precision,mcc,accuracy,balanced_accuracy,f1_weighted,brier,sensitivity,specificity,ppv,npv,calibration_intercept,calibration_slope,n_features,avg_leakage_risk,avg_clinical_utility,designated_traps_selected,designated_trap_fraction,prediction_unavailable_selected
nhanes,1,All Features,0.9550289108106113,0.8932888279462753,0.8062222615493275,0.9487590072057646,0.8673127724820808,0.9463884591464222,0.0435801167901645,0.7451923076923077,0.989433237271854,0.933734939759036,0.951061865189289,-0.5552172184679975,0.6737271652797866,17,0.18300234489894213,0.7009803921568628,2,1.0,0
nhanes,1,Mutual Information,0.9393473361412844,0.8758685859076153,0.7996338630535188,0.9471577261809448,0.8567344639030519,0.944167913914683,0.0438453639243278,0.7211538461538461,0.9923150816522576,0.9493670886075948,0.9468377635197068,-0.6155794360505938,0.6971381462828957,8,0.29266188618718336,0.7479166666666667,2,1.0,0
nhanes,1,LightGBM Gain,0.9143251681075888,0.8246299200860563,0.7235487843544222,0.9287429943955164,0.8110636961501514,0.9234307979674812,0.058353110640393,0.6346153846153846,0.9875120076849184,0.9103448275862068,0.9311594202898552,-0.5013507791476693,0.6506488673101345,8,0.1849360137131608,0.7145833333333333,1,0.5,0
nhanes,1,Permutation Importance,0.9505929949013522,0.8842389027543032,0.79681017425404,0.9463570856685348,0.8639483115347668,0.9439425902159944,0.044489075409987,0.7403846153846154,0.9875120076849184,0.9221556886227544,0.9500924214417744,-0.6626054678692784,0.6785294791339367,8,0.31141113666476083,0.7562500000000001,2,1.0,0
nhanes,1,SHAP Ranking,0.9496785635114164,0.8800906310528076,0.8029110878900964,0.9479583666933546,0.8629853875711224,0.9453527138789488,0.0442612512251712,0.7355769230769231,0.9903938520653218,0.9386503067484664,0.9493554327808472,-0.6118325882584211,0.6841982278947315,8,0.3177885709657686,0.7604166666666667,2,1.0,0
nhanes,1,Availability Gate + SHAP,0.9496785635114164,0.8800906310528076,0.8029110878900964,0.9479583666933546,0.8629853875711224,0.9453527138789488,0.0442612512251712,0.7355769230769231,0.9903938520653218,0.9386503067484664,0.9493554327808472,-0.6118325882584211,0.6841982278947315,8,0.3177885709657686,0.7604166666666667,2,1.0,0
nhanes,1,Semantic Veto + SHAP,0.8130819108845045,0.4848473171612552,0.3414928644310691,0.8470776621297038,0.6293481674425478,0.8266693490521551,0.1121103958632013,0.3028846153846153,0.9558117195004804,0.5779816513761468,0.8728070175438597,-0.2569782085317191,0.7877650327384149,8,0.11067572678114568,0.7458333333333333,0,0.0,0
nhanes,1,PSEUL-Select,0.8154742111874678,0.4779910002216209,0.3209793690893889,0.8414731785428343,0.6240624769082982,0.821758233221579,0.111963242481026,0.2980769230769231,0.9500480307396734,0.543859649122807,0.8713656387665198,-0.2411959364168547,0.7757376389469088,8,0.10318712089477043,0.7291666666666666,0,0.0,0
nhanes,1,PSEUL-Audit,0.9524103118303406,0.8871867951363837,0.7868909652739576,0.9439551641313052,0.8548132343161161,0.9410770437117832,0.0444174766375109,0.7211538461538461,0.9884726224783862,0.925925925925926,0.9466421343146274,-0.6073369701471019,0.703465233303852,8,0.3213635717636336,0.7895833333333333,2,1.0,0
nhanes,1,PSEUL-Auto (leakage metadata null),0.9552875378703908,0.8899998096414821,0.8092907355129214,0.9495596477181746,0.8658695411217026,0.9470341688365196,0.0435383068650567,0.7403846153846154,0.9913544668587896,0.9447852760736196,0.9502762430939228,-0.5995196639101452,0.7296194367286469,8,0.3121216304608078,0.7666666666666666,2,1.0,0
nhanes,1,Oracle Trap Exclusion + SHAP,0.8119157799453189,0.4502771205140363,0.2827855989313887,0.8358686949559647,0.6053120150742629,0.8127316059499108,0.1142098209910835,0.2596153846153846,0.9510086455331412,0.5142857142857142,0.8653846153846154,-0.2724432191687668,0.7586773221480975,8,0.11465773074512554,0.70625,0,0.0,0
nhanes,2,All Features,0.942367730732284,0.8448020603576193,0.7205251697363779,0.9279423538831064,0.7932715399394074,0.92069722911936,0.0570681531215851,0.5913461538461539,0.9951969260326607,0.9609375,0.9241748438893844,0.0982962348660432,0.7036272366258723,17,0.18231638309966255,0.7009803921568628,2,1.0,0
nhanes,2,Mutual Information,0.9185232394886572,0.8033687533808095,0.721579852901792,0.9279423538831064,0.7875009236680706,0.919982211868119,0.0611723845861875,0.5769230769230769,0.9980787704130644,0.9836065573770492,0.921916592724046,-0.1463997350361117,0.663333703218044,8,0.2990944792988361,0.71875,2,1.0,0
nhanes,2,LightGBM Gain,0.9218692270745584,0.81347485723017,0.7273308813504805,0.9295436349079264,0.7980792322470996,0.922686183134542,0.0604147696096837,0.6009615384615384,0.9951969260326607,0.9615384615384616,0.9258266309204648,-0.1276637637825865,0.6721009598751668,8,0.283948053300828,0.7291666666666667,2,1.0,0
nhanes,2,Permutation Importance,0.9359690201729106,0.8318692756236006,0.7377328923085869,0.931945556445156,0.8033672319515259,0.9254302287438853,0.0574855155212925,0.6105769230769231,0.9961575408261288,0.9694656488549618,0.9275491949910556,-0.13050531732734,0.6659379533307868,8,0.32269853427287254,0.775,2,1.0,0
nhanes,2,SHAP Ranking,0.9409591369245548,0.8415707327238336,0.7380560819717248,0.931945556445156,0.8014436931944136,0.9252127869019324,0.05645713780235,0.6057692307692307,0.9971181556195964,0.9767441860465116,0.9267857142857144,-0.025891951350757,0.7147553937752903,8,0.322304145845479,0.7791666666666668,2,1.0,0
nhanes,2,Availability Gate + SHAP,0.9409591369245548,0.8415707327238336,0.7380560819717248,0.931945556445156,0.8014436931944136,0.9252127869019324,0.05645713780235,0.6057692307692307,0.9971181556195964,0.9767441860465116,0.9267857142857144,-0.025891951350757,0.7147553937752903,8,0.322304145845479,0.7791666666666668,2,1.0,0
nhanes,2,Semantic Veto + SHAP,0.8126246951895367,0.4474176714977428,0.2637917108445748,0.8398718975180144,0.5846310869725855,0.8074324951010085,0.114021900385602,0.2019230769230769,0.967339097022094,0.5526315789473685,0.8584825234441603,-0.1247280406274896,0.7725091001999016,8,0.11409683513099236,0.7395833333333334,0,0.0,0
nhanes,2,PSEUL-Select,0.8031778799970443,0.4489641054953505,0.2904617237436596,0.8390712570056045,0.6053097059040863,0.8145054934909918,0.1151543770274824,0.2548076923076923,0.9558117195004804,0.5353535353535354,0.8652173913043478,-0.2150399812925235,0.7283128925859327,8,0.10732375410904256,0.7333333333333334,0,0.0,0
nhanes,2,PSEUL-Audit,0.9327708194783124,0.8308149438610446,0.7393959335129068,0.931945556445156,0.7956730769230769,0.924542156879041,0.0575378996419046,0.5913461538461539,1.0,1.0,0.9245115452930728,-0.0307013423294406,0.704405242153795,8,0.31956365860171454,0.7875000000000001,2,1.0,0
nhanes,2,PSEUL-Auto (leakage metadata null),0.9376339318702432,0.8361777744423168,0.7205251697363779,0.9279423538831064,0.7932715399394074,0.92069722911936,0.0573091047404222,0.5913461538461539,0.9951969260326607,0.9609375,0.9241748438893844,-0.080067752417579,0.6916190493156507,8,0.322304145845479,0.7791666666666668,2,1.0,0
nhanes,2,Oracle Trap Exclusion + SHAP,0.8014783307470629,0.4467597196731832,0.2770795129179784,0.8374699759807847,0.5985784748392817,0.8113467969771895,0.1160424595424701,0.2403846153846154,0.956772334293948,0.5263157894736842,0.8630849220103987,-0.2698938581744671,0.6906997407216037,8,0.11619200747448447,0.7270833333333333,0,0.0,0
nhanes,3,All Features,0.9463424733161576,0.8712718686522237,0.7651944043951252,0.9383506805444356,0.8425515274199484,0.9349668780099124,0.0497485274802728,0.6985645933014354,0.9865384615384616,0.9125,0.9421487603305784,-0.35940578880768,0.6439968491315599,17,0.1822751896217011,0.7009803921568628,2,1.0,0
nhanes,3,Mutual Information,0.9330028524107472,0.8476622814047621,0.7614451759528311,0.9375500400320256,0.8325128818549872,0.9333664249765886,0.0518226187106142,0.6746411483253588,0.9903846153846154,0.933774834437086,0.9380692167577414,-0.4779743046489322,0.6510341825420292,8,0.30562566561052484,0.7375,2,1.0,0
nhanes,3,LightGBM Gain,0.9181243099006258,0.822446577826398,0.7109899730982573,0.9255404323458768,0.8004508649245492,0.9193751883644408,0.0599972302394431,0.6124401913875598,0.9884615384615384,0.9142857142857144,0.9269612263300272,-0.3873845760955192,0.6868010956401833,8,0.18896893866334533,0.7333333333333334,1,0.5,0
nhanes,3,Permutation Importance,0.9495767390504234,0.873698598082259,0.7648900461577209,0.9383506805444356,0.8387283768862717,0.9346406908647996,0.0492442302202841,0.6889952153110048,0.9884615384615384,0.9230769230769232,0.9405306495882892,-0.3688463066445474,0.676427380483521,8,0.3107627549617375,0.7625,2,1.0,0
nhanes,3,SHAP Ranking,0.9466484173721016,0.8677982184915294,0.7452253240524832,0.933546837469976,0.8281974604343025,0.9293684610593876,0.050040598848621,0.6698564593301436,0.9865384615384616,0.9090909090909092,0.936986301369863,-0.3947785204383501,0.6496045773129979,8,0.3232913515404471,0.775,2,1.0,0
nhanes,3,Availability Gate + SHAP,0.9466484173721016,0.8677982184915294,0.7452253240524832,0.933546837469976,0.8281974604343025,0.9293684610593876,0.050040598848621,0.6698564593301436,0.9865384615384616,0.9090909090909092,0.936986301369863,-0.3947785204383501,0.6496045773129979,8,0.3232913515404471,0.775,2,1.0,0
nhanes,3,Semantic Veto + SHAP,0.7618835112256165,0.4137318429312077,0.2788786186422646,0.8350680544435548,0.6027557968347441,0.8110495762833553,0.1236426455212468,0.2535885167464115,0.9519230769230768,0.5145631067961165,0.8638743455497382,-0.4636759449196482,0.5587570598128632,8,0.11859869460690844,0.7395833333333333,0,0.0,0
nhanes,3,PSEUL-Select,0.7652972027972028,0.4328924379379903,0.3205923969974678,0.8438751000800641,0.6176021347073979,0.8208368431697269,0.1206789047964138,0.277511961722488,0.9576923076923076,0.5686274509803921,0.8683522231909329,-0.4492524218945646,0.5851014342979782,8,0.11277006175502055,0.7520833333333333,0,0.0,0
nhanes,3,PSEUL-Audit,0.9445896209054104,0.8661352606194423,0.7713207984834672,0.9399519615692554,0.8396899153478101,0.9361763202343863,0.0498101861013414,0.6889952153110048,0.9903846153846154,0.935064935064935,0.9406392694063926,-0.3985765503016365,0.6667834737931447,8,0.32347888767551236,0.79375,2,1.0,0
nhanes,3,PSEUL-Auto (leakage metadata null),0.9477663783584837,0.8697660112989626,0.7523584344918318,0.9351481184947958,0.8368052999631947,0.9315885340104274,0.0504441954871402,0.6889952153110048,0.9846153846153848,0.9,0.9403122130394858,-0.4316849254544523,0.649278039774182,8,0.3238714334460603,0.7791666666666668,2,1.0,0
nhanes,3,Oracle Trap Exclusion + SHAP,0.7704499447920501,0.4090087887821355,0.2435688662658593,0.8302642113690952,0.5864901545822598,0.8028484775057968,0.1233399632159357,0.2200956937799043,0.9528846153846152,0.4842105263157895,0.8587521663778163,-0.4195858702738076,0.5845042954357677,8,0.12441601906977681,0.7166666666666667,0,0.0,0
nhanes,4,All Features,0.9429103790945896,0.8602779075932463,0.7450629842979978,0.933546837469976,0.8262858851674642,0.9291867846418604,0.0537325348621861,0.6650717703349283,0.9875,0.9144736842105264,0.936189608021878,-0.1528437525688316,0.6347500965791547,17,0.17980313050766483,0.7009803921568628,2,1.0,0
nhanes,4,Mutual Information,0.93752990430622,0.8433805135881488,0.7384530691463751,0.931945556445156,0.8081201693043798,0.925899326595238,0.0549897803658306,0.6220095693779905,0.9942307692307693,0.9558823529411764,0.9290206648697216,-0.1188400167233143,0.6848966601275344,8,0.29453707674122614,0.7395833333333334,2,1.0,0
nhanes,4,LightGBM Gain,0.9298582995951418,0.8314329897596457,0.7006166340972162,0.923138510808647,0.7932738314317263,0.916427148638136,0.0602545161574178,0.5980861244019139,0.9884615384615384,0.9124087591240876,0.9244604316546764,-0.1646610195859549,0.7140174385725598,8,0.18184384607652168,0.7145833333333333,1,0.5,0
nhanes,4,Permutation Importance,0.9513295914611702,0.8735922872027577,0.7582619676057042,0.9367493995196156,0.8243858115568642,0.9318843863828292,0.049709022850587,0.6555023923444976,0.9932692307692308,0.9513888888888888,0.934841628959276,-0.0377832808577056,0.7341688654995848,8,0.3160345470090016,0.7333333333333334,2,1.0,0
