method,metric,estimate,ci_low,ci_high,bootstrap_replicates,inference_method
All Features,auc,0.9474068182841235,0.9401508387076698,0.9546627978605773,0,DeLong
All Features,mcc,0.7608312227682458,0.7394843086344814,0.7818777699366631,2000,stratified binomial bootstrap
Availability Gate + SHAP,auc,0.9457001441199715,0.9382758825089353,0.9531244057310077,0,DeLong
Availability Gate + SHAP,mcc,0.7614947138257847,0.7394711821060248,0.7818739167393831,2000,stratified binomial bootstrap
LightGBM Gain,auc,0.9212007636218462,0.9115051263747894,0.930896400868903,0,DeLong
LightGBM Gain,mcc,0.7183645864729632,0.6957219696102951,0.7407797237472139,2000,stratified binomial bootstrap
Mutual Information,auc,0.9319624409923541,0.9231348454730257,0.9407900365116826,0,DeLong
Mutual Information,mcc,0.7590336678445473,0.73757334541013,0.7796382784006415,2000,stratified binomial bootstrap
Oracle Trap Exclusion + SHAP,auc,0.7926417640933909,0.7788020917657249,0.806481436421057,0,DeLong
Oracle Trap Exclusion + SHAP,mcc,0.2695220793757639,0.23546391357063728,0.3005477336194678,2000,stratified binomial bootstrap
PSEUL-Audit,auc,0.9417226395281306,0.9338049657585545,0.9496403132977067,0,DeLong
PSEUL-Audit,mcc,0.7635372430017981,0.7415023038778248,0.7838183167364654,2000,stratified binomial bootstrap
PSEUL-Auto (leakage metadata null),auc,0.9468244902115752,0.9394848142198208,0.9541641662033297,0,DeLong
PSEUL-Auto (leakage metadata null),mcc,0.7647973545583361,0.7434587342109247,0.7846430821554391,2000,stratified binomial bootstrap
PSEUL-Select,auc,0.7928464506121593,0.7787207947735639,0.8069721064507547,0,DeLong
PSEUL-Select,mcc,0.30190308544080574,0.27112535897689677,0.33503937712833015,2000,stratified binomial bootstrap
Permutation Importance,auc,0.9468424775352164,0.9395250982563056,0.9541598568141273,0,DeLong
Permutation Importance,mcc,0.7654324534903416,0.742824517798828,0.7876911621642141,2000,stratified binomial bootstrap
SHAP Ranking,auc,0.9457001441199715,0.9382758825089353,0.9531244057310077,0,DeLong
SHAP Ranking,mcc,0.7614947138257847,0.7394246796204569,0.783287441965065,2000,stratified binomial bootstrap
Semantic Veto + SHAP,auc,0.7900561093806384,0.7760436751468928,0.8040685436143841,0,DeLong
Semantic Veto + SHAP,mcc,0.2733616589747796,0.2403567423314687,0.30633657320803065,2000,stratified binomial bootstrap
