reference,comparator,metric,delta_reference_minus_comparator,ci_low,ci_high,probability_delta_gt_zero,two_sided_bootstrap_p,bootstrap_replicates,inference_method,holm_adjusted_p
PSEUL-Select,All Features,auc,-0.15456036767196424,-0.16878032785841685,-0.14034040748551163,5.2405887691653364e-101,1.0481177538330673e-100,0,paired DeLong,9.433059784497606e-100
PSEUL-Select,All Features,mcc,-0.4592254624300713,-0.49359126856018415,-0.4237574825153893,0.0,0.0009995002498750624,2000,paired stratified multinomial bootstrap,0.009995002498750623
PSEUL-Select,Availability Gate + SHAP,auc,-0.1528536935078122,-0.1671966323377594,-0.138510754677865,3.4525282107163584e-97,6.905056421432717e-97,0,paired DeLong,4.833539495002902e-96
PSEUL-Select,Availability Gate + SHAP,mcc,-0.4594168602418768,-0.49676762471688446,-0.42467411586429177,0.0,0.0009995002498750624,2000,paired stratified multinomial bootstrap,0.009995002498750623
PSEUL-Select,LightGBM Gain,auc,-0.12835431300968692,-0.14308511335505703,-0.11362351266431682,1.0797323112723296e-65,2.159464622544659e-65,0,paired DeLong,6.478393867633977e-65
PSEUL-Select,LightGBM Gain,mcc,-0.4162484670699208,-0.4539089723712127,-0.37786933340554524,0.0,0.0009995002498750624,2000,paired stratified multinomial bootstrap,0.009995002498750623
PSEUL-Select,Mutual Information,auc,-0.13911599038019484,-0.15422792198379542,-0.12400405877659425,4.4626287710926444e-73,8.925257542185289e-73,0,paired DeLong,3.5701030168741155e-72
PSEUL-Select,Mutual Information,mcc,-0.4565266744289665,-0.4928213960583137,-0.4188076486854935,0.0,0.0009995002498750624,2000,paired stratified multinomial bootstrap,0.009995002498750623
PSEUL-Select,Oracle Trap Exclusion + SHAP,auc,0.00020468651876837107,-0.007645486573848339,0.00805485961138508,0.5203792000244014,0.9592415999511971,0,paired DeLong,0.9726536219011088
PSEUL-Select,Oracle Trap Exclusion + SHAP,mcc,0.032274078742149145,0.005606944959061552,0.06036208725679249,0.9905,0.01999000499750125,2000,paired stratified multinomial bootstrap,0.0399800099950025
PSEUL-Select,PSEUL-Audit,auc,-0.14887618891597132,-0.1635832469948759,-0.13416913083706675,6.638924606494022e-88,1.3277849212988043e-87,0,paired DeLong,6.638924606494021e-87
PSEUL-Select,PSEUL-Audit,mcc,-0.4615088613350551,-0.49713628170759827,-0.4260255199082009,0.0,0.0009995002498750624,2000,paired stratified multinomial bootstrap,0.009995002498750623
PSEUL-Select,PSEUL-Auto (leakage metadata null),auc,-0.15397803959941592,-0.16810370726462148,-0.13985237193421035,1.4098394186840014e-101,2.8196788373680027e-101,0,paired DeLong,2.8196788373680026e-100
PSEUL-Select,PSEUL-Auto (leakage metadata null),mcc,-0.46339866128753,-0.5005498673972631,-0.42770680933837424,0.0,0.0009995002498750624,2000,paired stratified multinomial bootstrap,0.009995002498750623
PSEUL-Select,Permutation Importance,auc,-0.15399602692305714,-0.16830357693811712,-0.13968847690799716,4.3269214573703985e-99,8.653842914740797e-99,0,paired DeLong,6.923074331792638e-98
PSEUL-Select,Permutation Importance,mcc,-0.4636593766713548,-0.4986798789287815,-0.42829444868103816,0.0,0.0009995002498750624,2000,paired stratified multinomial bootstrap,0.009995002498750623
PSEUL-Select,SHAP Ranking,auc,-0.1528536935078122,-0.1671966323377594,-0.138510754677865,3.4525282107163584e-97,6.905056421432717e-97,0,paired DeLong,4.833539495002902e-96
PSEUL-Select,SHAP Ranking,mcc,-0.4587611556458303,-0.492581226580848,-0.4244331156875349,0.0,0.0009995002498750624,2000,paired stratified multinomial bootstrap,0.009995002498750623
PSEUL-Select,Semantic Veto + SHAP,auc,0.0027903412315208875,-0.005065677403948518,0.010646359866990293,0.7568365945247228,0.4863268109505544,0,paired DeLong,0.9726536219011088
PSEUL-Select,Semantic Veto + SHAP,mcc,0.027982360217899804,-0.0015192749974124896,0.05704318447014793,0.9675,0.06596701649175413,2000,paired stratified multinomial bootstrap,0.06596701649175413
