study,method,auc,average_precision,mcc,accuracy,balanced_accuracy,f1_weighted,brier,sensitivity,specificity,ppv,npv,calibration_intercept,calibration_slope
nhanes,All Features,0.9474068182841238,0.8681098418634678,0.7608312227682458,0.9375400384368994,0.8331975521005135,0.9334424800303301,0.05032225441383303,0.6765834932821497,0.9898116109188774,0.9300791556728232,0.9385709077652206,-0.24468230089657075,0.6628777846493085
nhanes,Availability Gate + SHAP,0.9457001441199715,0.8632250605032258,0.7614947138257847,0.9377001921844971,0.8286889141264876,0.9331759475635276,0.05010940099368178,0.6650671785028791,0.9923106497500961,0.9454297407912687,0.9366721103248049,-0.2995631023283001,0.675492769046903
nhanes,LightGBM Gain,0.9212007636218464,0.8244383308842026,0.7183645864729632,0.9274503523382447,0.8029672258049281,0.9213745496713226,0.05901407481049811,0.6161228406909789,0.9898116109188774,0.9237410071942446,0.9279149396287619,-0.32361454303692927,0.6841108490973559
nhanes,Mutual Information,0.931962440992354,0.8450586315894921,0.7590336678445473,0.9370595771941064,0.8233159621908301,0.9320877418202758,0.052197031876368476,0.6525911708253359,0.9940407535563245,0.9563994374120957,0.9345743719501175,-0.3673406579912361,0.6626467823585642
nhanes,Oracle Trap Exclusion + SHAP,0.7926417640933909,0.42255922512025856,0.2695220793757639,0.8361627162075592,0.5950725064403842,0.8092381606906505,0.11870452319303641,0.23320537428023033,0.9569396386005382,0.5203426124197003,0.8616929202007962,-0.3012917102348364,0.6786026123134569
nhanes,PSEUL-Audit,0.9417226395281307,0.86029281098771,0.7635372430017981,0.9381806534272902,0.8285935351898466,0.9336027880294212,0.050531942248668395,0.6641074856046065,0.9930795847750865,0.9505494505494505,0.9365482233502538,-0.32923890298900577,0.6748373031855746
nhanes,PSEUL-Auto (leakage metadata null),0.9468244902115752,0.8660702716297026,0.7647973545583361,0.9385009609224856,0.831088146372169,0.9341223361006379,0.04992303475103042,0.6698656429942419,0.9923106497500961,0.94579945799458,0.9375227025063567,-0.3096975815214475,0.6866415936813335
nhanes,PSEUL-Select,0.7928464506121594,0.43548508731523605,0.30190308544080574,0.8419282511210763,0.6077422237571405,0.8167303979365897,0.11722609822968717,0.2562380038387716,0.9592464436755094,0.55741127348643,0.8655680832610582,-0.29274708795244886,0.6939272886505706
nhanes,Permutation Importance,0.9468424775352164,0.8665864269309417,0.7654324534903416,0.9386611146700833,0.8327191815343427,0.9344150554557644,0.04978658966444609,0.6737044145873321,0.9917339484813533,0.9422818791946309,0.9381705764684488,-0.3201670943842731,0.6771020127959092
nhanes,SHAP Ranking,0.9457001441199715,0.8632250605032258,0.7614947138257847,0.9377001921844971,0.8286889141264876,0.9331759475635276,0.05010940099368178,0.6650671785028791,0.9923106497500961,0.9454297407912687,0.9366721103248049,-0.2995631023283001,0.675492769046903
nhanes,Semantic Veto + SHAP,0.7900561093806383,0.4243943808632981,0.2733616589747796,0.8380845611787315,0.5943072611228075,0.8099750941934142,0.11852575057599808,0.22840690978886757,0.9602076124567474,0.5348314606741573,0.8613554061045008,-0.2917586836957914,0.6872139947971552
