study,fold,feature,raw_predictive_drop,predictive_utility,raw_shap_mean_abs,raw_shap_cv,shap_stability,evidence_relevance,clinical_utility,label_derived_risk,definitional_overlap,target_proxy_strength,semantic_risk_max,available_at_prediction,interpretation,leakage_risk,theta_l_mean,audit_score,pre_score,uncertainty_width,pseul_category,semantic_veto,admissible_for_selection,select_score,selection_order,selected,rejection_reason
nhanes,1,age,0.026419008988915523,0.15856278082119346,0.7072412036834225,0.10331321373648301,0.8966867862635169,0.9,0.7333333333333333,0.0,0.0,0.05,0.05,True,Age is a stable diabetes risk factor.,0.11075618688612698,0.5,0.6352395248323948,0.6225379307058215,0.0003852842512791147,Clinically Actionable Feature,False,True,0.6225379307058215,1.0,True,
nhanes,1,bmi,0.0032076717861470928,0.01886889079504327,0.22687955546497232,0.07603220966253786,0.9239677903374621,0.9,0.8666666666666667,0.0,0.0,0.15,0.15,True,BMI is clinically actionable for diabetes prevention.,0.11816642664152348,0.5,0.6321208919726721,0.618522005063851,0.0006919406933215997,Clinically Actionable Feature,False,True,0.6180499791613329,2.0,True,
nhanes,1,prediabetes_told,0.023293203937210658,0.13975060023368455,0.4978179914190295,0.036436190196783624,0.9635638098032164,0.825,0.7833333333333333,0.1,0.3,0.65,0.65,True,Prediabetes self-report is close to diabetes label.,0.29169447419340305,0.5,0.636721275364082,0.5661867751701649,0.0017393920377716777,Clinically Actionable Feature,False,True,0.5546307857968648,3.0,True,
nhanes,1,diastolic_bp,0.003442120132300741,0.020279882380676444,0.20050296195672365,0.016648637811376144,0.9833513621886238,0.6,0.6833333333333332,0.0,0.0,0.1,0.1,True,Cardiometabolic risk marker.,0.025000000000000005,0.5,0.5235875704852611,0.5190965057366228,0.0,Domain-Supportive Feature,False,True,0.4977585202569528,4.0,True,
nhanes,1,race_ethnicity,0.001420003146725516,0.008110079954590255,0.12956828191868922,0.03530263240573742,0.9646973675942626,0.625,0.5833333333333334,0.0,0.0,0.05,0.05,True,Race/ethnicity is a population risk descriptor.,0.0161106273170603,0.5,0.49745583083856293,0.4935469308539883,0.000145330616915675,Domain-Supportive Feature,False,True,0.4883485435920019,5.0,True,
nhanes,1,waist,0.002749235362971262,0.01610986115691161,0.3475445146432428,0.17993047478130123,0.8200695252186988,0.85,0.8166666666666668,0.0,0.0,0.15,0.15,True,Central adiposity risk marker.,0.13517614852984214,0.5,0.58551353005748,0.5706061491946408,0.0014046586424229697,Clinically Actionable Feature,False,True,0.48581721269817724,6.0,True,
nhanes,1,sedentary_minutes,0.0018078111411375126,0.010444043174778617,0.2439814861742283,0.3554020849841112,0.6445979150158888,0.65,0.7166666666666668,0.0,0.0,0.1,0.1,True,Behavioral intervention target.,0.035362268518626755,0.5,0.47371946262227804,0.46920572142673395,0.00035213233103120154,Domain-Supportive Feature,False,True,0.4647784052402013,7.0,True,
nhanes,1,total_cholesterol,0.011870762942637884,0.0710063826047353,0.431632665720828,0.15512479141698354,0.8448752085830165,0.55,0.65,0.0,0.0,0.15,0.15,True,Metabolic risk marker.,0.09323083507158102,0.5,0.49027695649802394,0.48201993865676607,0.0003682072674723893,Domain-Supportive Feature,False,True,0.4639672314750092,8.0,True,
nhanes,1,weight,0.001789138264010252,0.010331663313976102,0.17899579591082607,0.0555216361948853,0.9444783638051147,0.7,0.7666666666666666,0.0,0.0,0.1,0.1,True,Body weight is clinically interpretable.,0.09004615773966707,0.5,0.5586618384218824,0.5495342239522794,0.0006202568475402427,Clinically Actionable Feature,False,True,0.4608276564756204,,False,not-in-final-subset
nhanes,1,systolic_bp,0.0023580558768557876,0.013755607128523124,0.20878642804842218,0.17199156707449023,0.8280084329255097,0.65,0.7166666666666668,0.0,0.0,0.1,0.1,True,Cardiometabolic risk marker.,0.07601947440806231,0.5,0.5113950353903256,0.5041252864429255,0.00031052017810949433,Domain-Supportive Feature,False,True,0.4418636146032952,,False,not-in-final-subset
