study,fold,method,features,n_features,avg_leakage_risk,avg_clinical_utility,designated_traps_selected,designated_trap_fraction,prediction_unavailable_selected
nhanes,1,All Features,"[""age"", ""sex_male"", ""race_ethnicity"", ""education"", ""income_ratio"", ""bmi"", ""waist"", ""weight"", ""systolic_bp"", ""diastolic_bp"", ""total_cholesterol"", ""hdl_cholesterol"", ""sedentary_minutes"", ""ever_smoked"", ""prediabetes_told"", ""hba1c"", ""fasting_glucose""]",17,0.18300234489894213,0.7009803921568628,2,1.0,0
nhanes,1,Mutual Information,"[""hba1c"", ""fasting_glucose"", ""age"", ""waist"", ""systolic_bp"", ""education"", ""diastolic_bp"", ""bmi""]",8,0.29266188618718336,0.7479166666666667,2,1.0,0
nhanes,1,LightGBM Gain,"[""age"", ""income_ratio"", ""sedentary_minutes"", ""total_cholesterol"", ""diastolic_bp"", ""hba1c"", ""waist"", ""systolic_bp""]",8,0.1849360137131608,0.7145833333333333,1,0.5,0
nhanes,1,Permutation Importance,"[""hba1c"", ""fasting_glucose"", ""prediabetes_told"", ""age"", ""total_cholesterol"", ""waist"", ""diastolic_bp"", ""sedentary_minutes""]",8,0.31141113666476083,0.7562500000000001,2,1.0,0
nhanes,1,SHAP Ranking,"[""hba1c"", ""fasting_glucose"", ""age"", ""prediabetes_told"", ""waist"", ""total_cholesterol"", ""systolic_bp"", ""sedentary_minutes""]",8,0.3177885709657686,0.7604166666666667,2,1.0,0
nhanes,1,Availability Gate + SHAP,"[""hba1c"", ""fasting_glucose"", ""age"", ""prediabetes_told"", ""waist"", ""total_cholesterol"", ""systolic_bp"", ""sedentary_minutes""]",8,0.3177885709657686,0.7604166666666667,2,1.0,0
nhanes,1,Semantic Veto + SHAP,"[""age"", ""prediabetes_told"", ""waist"", ""total_cholesterol"", ""systolic_bp"", ""sedentary_minutes"", ""bmi"", ""diastolic_bp""]",8,0.11067572678114568,0.7458333333333333,0,0.0,0
nhanes,1,PSEUL-Select,"[""age"", ""bmi"", ""prediabetes_told"", ""diastolic_bp"", ""race_ethnicity"", ""waist"", ""sedentary_minutes"", ""total_cholesterol""]",8,0.10318712089477043,0.7291666666666666,0,0.0,0
nhanes,1,PSEUL-Audit,"[""hba1c"", ""fasting_glucose"", ""prediabetes_told"", ""age"", ""bmi"", ""waist"", ""weight"", ""diastolic_bp""]",8,0.3213635717636336,0.7895833333333333,2,1.0,0
nhanes,1,PSEUL-Auto (leakage metadata null),"[""hba1c"", ""fasting_glucose"", ""prediabetes_told"", ""bmi"", ""age"", ""diastolic_bp"", ""waist"", ""race_ethnicity""]",8,0.3121216304608078,0.7666666666666666,2,1.0,0
