method,metric,estimate,ci_low,ci_high,bootstrap_replicates,inference_method
All Features,auc,0.9474068182841235,0.9401508387076698,0.9546627978605773,0,DeLong
All Features,mcc,0.7608312227682458,0.7394843086344814,0.7818777699366631,2000,stratified binomial bootstrap
GRASP-inspired Proxy,auc,0.9437769763733275,0.9362624605460705,0.9512914922005844,0,DeLong
GRASP-inspired Proxy,mcc,0.7574869587060673,0.7347104839281025,0.7785652782394388,2000,stratified binomial bootstrap
LightGBM Gain,auc,0.9212007636218462,0.9115051263747894,0.930896400868903,0,DeLong
LightGBM Gain,mcc,0.7183645864729632,0.6949933933616489,0.7400928754054084,2000,stratified binomial bootstrap
Mutual Information,auc,0.9319624409923541,0.9231348454730257,0.9407900365116826,0,DeLong
Mutual Information,mcc,0.7590336678445473,0.7381244923682223,0.7800839751550948,2000,stratified binomial bootstrap
Oracle Trap Exclusion + SHAP,auc,0.7926417640933909,0.7788020917657249,0.806481436421057,0,DeLong
Oracle Trap Exclusion + SHAP,mcc,0.2695220793757639,0.23494737198040067,0.30049362083701275,2000,stratified binomial bootstrap
PSEUL-Audit,auc,0.9411220474038848,0.9332302073306845,0.9490138874770851,0,DeLong
PSEUL-Audit,mcc,0.7650012605992909,0.7424261527876216,0.7857435546210144,2000,stratified binomial bootstrap
PSEUL-Auto (neutral metadata),auc,0.9466341935517197,0.9392382306702503,0.9540301564331892,0,DeLong
PSEUL-Auto (neutral metadata),mcc,0.7621194761606084,0.7408318868030158,0.7831321850088327,2000,stratified binomial bootstrap
PSEUL-Select,auc,0.7940206999965316,0.7799369257931847,0.8081044741998784,0,DeLong
PSEUL-Select,mcc,0.30433106497579554,0.2716949276361897,0.3345563018548692,2000,stratified binomial bootstrap
Permutation Importance,auc,0.9468424775352164,0.9395250982563056,0.9541598568141273,0,DeLong
Permutation Importance,mcc,0.7654324534903416,0.7441968683425,0.7871172043274335,2000,stratified binomial bootstrap
SHAP Ranking,auc,0.9457001441199715,0.9382758825089353,0.9531244057310077,0,DeLong
SHAP Ranking,mcc,0.7614947138257847,0.73943058242989,0.7832227496365355,2000,stratified binomial bootstrap
SHAP Regression Proxy,auc,0.9310807854058789,0.9220222883149207,0.9401392824968371,0,DeLong
SHAP Regression Proxy,mcc,0.7615563748492518,0.7388931411572107,0.7819603574682928,2000,stratified binomial bootstrap
