reference,comparator,metric,delta_reference_minus_comparator,ci_low,ci_high,probability_delta_gt_zero,two_sided_bootstrap_p,bootstrap_replicates,inference_method,holm_adjusted_p
PSEUL-Select,All Features,auc,-0.15338611828759197,-0.16760836247874605,-0.13916387409643788,1.7607629777741405e-99,3.521525955548281e-99,0,paired DeLong,3.521525955548281e-98
PSEUL-Select,All Features,mcc,-0.45693912634905154,-0.491360938229584,-0.4205643463498883,0.0,0.0009995002498750624,2000,paired stratified multinomial bootstrap,0.009995002498750623
PSEUL-Select,GRASP-inspired Proxy,auc,-0.1497562763767959,-0.16407275733290358,-0.1354397954206882,1.0245431434794127e-93,2.0490862869588255e-93,0,paired DeLong,1.2294517721752953e-92
PSEUL-Select,GRASP-inspired Proxy,mcc,-0.452973933876571,-0.4874356203011509,-0.41716089640579856,0.0,0.0009995002498750624,2000,paired stratified multinomial bootstrap,0.009995002498750623
PSEUL-Select,LightGBM Gain,auc,-0.12718006362531464,-0.14179862804944215,-0.11256149920118713,1.69449058062826e-65,3.38898116125652e-65,0,paired DeLong,6.77796232251304e-65
PSEUL-Select,LightGBM Gain,mcc,-0.41371745187799697,-0.45067486698789877,-0.37553786053002886,0.0,0.0009995002498750624,2000,paired stratified multinomial bootstrap,0.009995002498750623
PSEUL-Select,Mutual Information,auc,-0.13794174099582257,-0.15300659870060457,-0.12287688329104056,2.5423539669571523e-72,5.084707933914305e-72,0,paired DeLong,2.033883173565722e-71
PSEUL-Select,Mutual Information,mcc,-0.4543644547238582,-0.4924671046898385,-0.4172005455304646,0.0,0.0009995002498750624,2000,paired stratified multinomial bootstrap,0.009995002498750623
PSEUL-Select,Oracle Trap Exclusion + SHAP,auc,0.0013789359031406434,-0.006090497057248728,0.008848368863530014,0.6412629372728897,0.7174741254542204,0,paired DeLong,0.7174741254542204
PSEUL-Select,Oracle Trap Exclusion + SHAP,mcc,0.034457678220249886,0.007207041834203615,0.06429102274753515,0.991,0.01899050474762619,2000,paired stratified multinomial bootstrap,0.01899050474762619
PSEUL-Select,PSEUL-Audit,auc,-0.14710134740735326,-0.16179837966412225,-0.13240431515058426,5.483500229173916e-86,1.0967000458347832e-85,0,paired DeLong,5.483500229173916e-85
PSEUL-Select,PSEUL-Audit,mcc,-0.46045599651438207,-0.4967322340049287,-0.42398703233064533,0.0,0.0009995002498750624,2000,paired stratified multinomial bootstrap,0.009995002498750623
PSEUL-Select,PSEUL-Auto (neutral metadata),auc,-0.15261349355518816,-0.16707993172701174,-0.13814705538336458,2.790634713390471e-95,5.581269426780942e-95,0,paired DeLong,3.906888598746659e-94
PSEUL-Select,PSEUL-Auto (neutral metadata),mcc,-0.45808510761364873,-0.4933463451156572,-0.4234768452736595,0.0,0.0009995002498750624,2000,paired stratified multinomial bootstrap,0.009995002498750623
PSEUL-Select,Permutation Importance,auc,-0.15282177753868487,-0.16713858126156478,-0.13850497381580495,1.7018777117299816e-97,3.403755423459963e-97,0,paired DeLong,3.063379881113967e-96
PSEUL-Select,Permutation Importance,mcc,-0.4614718488967707,-0.49735658889482254,-0.4257350492578214,0.0,0.0009995002498750624,2000,paired stratified multinomial bootstrap,0.009995002498750623
PSEUL-Select,SHAP Ranking,auc,-0.15167944412343992,-0.16599630407119859,-0.13736258417568126,4.472602253276397e-96,8.945204506552795e-96,0,paired DeLong,7.156163605242236e-95
PSEUL-Select,SHAP Ranking,mcc,-0.456625304256676,-0.4922269803678418,-0.4204981883520563,0.0,0.0009995002498750624,2000,paired stratified multinomial bootstrap,0.009995002498750623
PSEUL-Select,SHAP Regression Proxy,auc,-0.13706008540934733,-0.15277698534738204,-0.12134318547131262,8.469873208301147e-66,1.6939746416602293e-65,0,paired DeLong,5.081923924980688e-65
PSEUL-Select,SHAP Regression Proxy,mcc,-0.4573798516608697,-0.4922414158159752,-0.42097061784773376,0.0,0.0009995002498750624,2000,paired stratified multinomial bootstrap,0.009995002498750623
