study,method,auc,average_precision,mcc,accuracy,balanced_accuracy,f1_weighted,brier,sensitivity,specificity,ppv,npv,calibration_intercept,calibration_slope
nhanes,All Features,0.9474068182841238,0.8681098418634678,0.7608312227682458,0.9375400384368994,0.8331975521005135,0.9334424800303301,0.05032225441383303,0.6765834932821497,0.9898116109188774,0.9300791556728232,0.9385709077652206,-0.24468230089657075,0.6628777846493085
nhanes,GRASP-inspired Proxy,0.9437769763733277,0.8607898883313483,0.7574869587060673,0.936739269698911,0.8296471311417948,0.9323956639675932,0.05119135715451212,0.6689059500959693,0.9903883121876201,0.9330655957161981,0.9372384937238494,-0.33783369911896327,0.6715083323332071
nhanes,LightGBM Gain,0.9212007636218464,0.8244383308842026,0.7183645864729632,0.9274503523382447,0.8029672258049281,0.9213745496713226,0.05901407481049811,0.6161228406909789,0.9898116109188774,0.9237410071942446,0.9279149396287619,-0.32361454303692927,0.6841108490973559
nhanes,Mutual Information,0.931962440992354,0.8450586315894921,0.7590336678445473,0.9370595771941064,0.8233159621908301,0.9320877418202758,0.052197031876368476,0.6525911708253359,0.9940407535563245,0.9563994374120957,0.9345743719501175,-0.3673406579912361,0.6626467823585642
nhanes,Oracle Trap Exclusion + SHAP,0.7926417640933909,0.42255922512025856,0.2695220793757639,0.8361627162075592,0.5950725064403842,0.8092381606906505,0.11870452319303641,0.23320537428023033,0.9569396386005382,0.5203426124197003,0.8616929202007962,-0.3012917102348364,0.6786026123134569
nhanes,PSEUL-Audit,0.941122047403885,0.8581454258220924,0.7650012605992909,0.9385009609224856,0.8272508506620442,0.9337689306810805,0.05079299068510926,0.6602687140115163,0.994232987312572,0.958217270194986,0.9359391965255157,-0.32577140732539867,0.6779792186201705
nhanes,PSEUL-Auto (neutral metadata),0.9466341935517196,0.8662603261386315,0.7621194761606084,0.9378603459320948,0.8318548675727112,0.9336111109343652,0.05007406477447662,0.6727447216890595,0.9909650134563629,0.9371657754010695,0.9379548762736536,-0.29336654887850716,0.7120414137838181
nhanes,PSEUL-Select,0.7940206999965317,0.43299078215260783,0.30433106497579554,0.8417680973734786,0.6099484843050915,0.8173742922163664,0.11723449764083353,0.2619961612284069,0.9579008073817762,0.5548780487804879,0.866307371349096,-0.3015603354068436,0.6914328041106409
nhanes,Permutation Importance,0.9468424775352164,0.8665864269309417,0.7654324534903416,0.9386611146700833,0.8327191815343427,0.9344150554557644,0.04978658966444609,0.6737044145873321,0.9917339484813533,0.9422818791946309,0.9381705764684488,-0.3201670943842731,0.6771020127959092
nhanes,SHAP Ranking,0.9457001441199715,0.8632250605032258,0.7614947138257847,0.9377001921844971,0.8286889141264876,0.9331759475635276,0.05010940099368178,0.6650671785028791,0.9923106497500961,0.9454297407912687,0.9366721103248049,-0.2995631023283001,0.675492769046903
nhanes,SHAP Regression Proxy,0.9310807854058789,0.846952483651359,0.7615563748492518,0.9377001921844971,0.8271539958424377,0.9330329405333531,0.05214813334367968,0.6612284069097889,0.9930795847750865,0.9503448275862069,0.936039137524914,-0.4658667609574998,0.6738151286084829
