study,fold,method,features,n_features,avg_leakage_risk,avg_clinical_utility,designated_traps_selected,designated_trap_fraction,prediction_unavailable_selected
nhanes,1,All Features,"[""age"", ""sex_male"", ""race_ethnicity"", ""education"", ""income_ratio"", ""bmi"", ""waist"", ""weight"", ""systolic_bp"", ""diastolic_bp"", ""total_cholesterol"", ""hdl_cholesterol"", ""sedentary_minutes"", ""ever_smoked"", ""prediabetes_told"", ""hba1c"", ""fasting_glucose""]",17,0.18298186271185202,0.7009803921568628,2,1.0,0
nhanes,1,Mutual Information,"[""hba1c"", ""fasting_glucose"", ""age"", ""waist"", ""systolic_bp"", ""education"", ""diastolic_bp"", ""bmi""]",8,0.29265314240956447,0.7479166666666667,2,1.0,0
nhanes,1,LightGBM Gain,"[""age"", ""income_ratio"", ""sedentary_minutes"", ""total_cholesterol"", ""diastolic_bp"", ""hba1c"", ""waist"", ""systolic_bp""]",8,0.18493813997334593,0.7145833333333333,1,0.5,0
nhanes,1,Permutation Importance,"[""hba1c"", ""fasting_glucose"", ""prediabetes_told"", ""age"", ""total_cholesterol"", ""waist"", ""diastolic_bp"", ""sedentary_minutes""]",8,0.3114214150371383,0.7562500000000001,2,1.0,0
nhanes,1,SHAP Ranking,"[""hba1c"", ""fasting_glucose"", ""age"", ""prediabetes_told"", ""waist"", ""total_cholesterol"", ""systolic_bp"", ""sedentary_minutes""]",8,0.317794600200733,0.7604166666666667,2,1.0,0
nhanes,1,PSEUL-Select,"[""age"", ""bmi"", ""prediabetes_told"", ""total_cholesterol"", ""race_ethnicity"", ""waist"", ""sedentary_minutes"", ""diastolic_bp""]",8,0.10320031489989248,0.7291666666666666,0,0.0,0
nhanes,1,PSEUL-Audit,"[""hba1c"", ""fasting_glucose"", ""age"", ""bmi"", ""prediabetes_told"", ""waist"", ""weight"", ""systolic_bp""]",8,0.3277340866976055,0.79375,2,1.0,0
nhanes,1,PSEUL-Auto (neutral metadata),"[""hba1c"", ""prediabetes_told"", ""age"", ""fasting_glucose"", ""sedentary_minutes"", ""total_cholesterol"", ""income_ratio"", ""diastolic_bp""]",8,0.3028246098986713,0.7250000000000001,2,1.0,0
nhanes,1,Oracle Trap Exclusion + SHAP,"[""age"", ""waist"", ""systolic_bp"", ""total_cholesterol"", ""bmi"", ""education"", ""race_ethnicity"", ""prediabetes_told""]",8,0.11466667561283449,0.70625,0,0.0,0
nhanes,1,Gaussian Knockoff Proxy,[],0,,,0,0.0,0
nhanes,1,SHAP Regression Proxy,"[""age"", ""diastolic_bp"", ""total_cholesterol"", ""hba1c"", ""fasting_glucose""]",5,0.40583021222298504,0.7466666666666667,2,1.0,0
nhanes,1,GRASP-inspired Proxy,"[""hba1c"", ""fasting_glucose"", ""income_ratio"", ""age"", ""total_cholesterol"", ""sedentary_minutes"", ""prediabetes_told"", ""waist""]",8,0.3165950494574403,0.7416666666666667,2,1.0,0
nhanes,2,All Features,"[""age"", ""sex_male"", ""race_ethnicity"", ""education"", ""income_ratio"", ""bmi"", ""waist"", ""weight"", ""systolic_bp"", ""diastolic_bp"", ""total_cholesterol"", ""hdl_cholesterol"", ""sedentary_minutes"", ""ever_smoked"", ""prediabetes_told"", ""hba1c"", ""fasting_glucose""]",17,0.1822963783753229,0.7009803921568628,2,1.0,0
nhanes,2,Mutual Information,"[""hba1c"", ""fasting_glucose"", ""age"", ""waist"", ""hdl_cholesterol"", ""systolic_bp"", ""education"", ""total_cholesterol""]",8,0.2990460034906021,0.71875,2,1.0,0
nhanes,2,LightGBM Gain,"[""income_ratio"", ""age"", ""sedentary_minutes"", ""hba1c"", ""waist"", ""total_cholesterol"", ""diastolic_bp"", ""fasting_glucose""]",8,0.2839464571405773,0.7291666666666667,2,1.0,0
nhanes,2,Permutation Importance,"[""hba1c"", ""fasting_glucose"", ""age"", ""prediabetes_told"", ""total_cholesterol"", ""waist"", ""bmi"", ""diastolic_bp""]",8,0.3227045694490314,0.775,2,1.0,0
nhanes,2,SHAP Ranking,"[""hba1c"", ""age"", ""fasting_glucose"", ""prediabetes_told"", ""total_cholesterol"", ""waist"", ""bmi"", ""sedentary_minutes""]",8,0.32231006476126045,0.7791666666666668,2,1.0,0
nhanes,2,PSEUL-Select,"[""age"", ""bmi"", ""prediabetes_told"", ""sedentary_minutes"", ""total_cholesterol"", ""race_ethnicity"", ""hdl_cholesterol"", ""systolic_bp""]",8,0.10373084109386249,0.7145833333333333,0,0.0,0
nhanes,2,PSEUL-Audit,"[""hba1c"", ""fasting_glucose"", ""age"", ""bmi"", ""prediabetes_told"", ""waist"", ""sedentary_minutes"", ""systolic_bp""]",8,0.31956957751749593,0.7875000000000001,2,1.0,0
nhanes,2,PSEUL-Auto (neutral metadata),"[""hba1c"", ""prediabetes_told"", ""age"", ""fasting_glucose"", ""total_cholesterol"", ""sedentary_minutes"", ""sex_male"", ""income_ratio""]",8,0.3025651222873868,0.7125,2,1.0,0
nhanes,2,Oracle Trap Exclusion + SHAP,"[""age"", ""waist"", ""hdl_cholesterol"", ""race_ethnicity"", ""bmi"", ""systolic_bp"", ""prediabetes_told"", ""total_cholesterol""]",8,0.11614928166935994,0.7270833333333333,0,0.0,0
nhanes,2,Gaussian Knockoff Proxy,[],0,,,0,0.0,0
nhanes,2,SHAP Regression Proxy,"[""age"", ""waist"", ""total_cholesterol"", ""sedentary_minutes"", ""hba1c"", ""fasting_glucose""]",6,0.3623162262332272,0.763888888888889,2,1.0,0
nhanes,2,GRASP-inspired Proxy,"[""hba1c"", ""fasting_glucose"", ""income_ratio"", ""total_cholesterol"", ""age"", ""sedentary_minutes"", ""waist"", ""prediabetes_told""]",8,0.31595143183675695,0.7416666666666667,2,1.0,0
nhanes,3,All Features,"[""age"", ""sex_male"", ""race_ethnicity"", ""education"", ""income_ratio"", ""bmi"", ""waist"", ""weight"", ""systolic_bp"", ""diastolic_bp"", ""total_cholesterol"", ""hdl_cholesterol"", ""sedentary_minutes"", ""ever_smoked"", ""prediabetes_told"", ""hba1c"", ""fasting_glucose""]",17,0.18228230257871206,0.7009803921568628,2,1.0,0
nhanes,3,Mutual Information,"[""hba1c"", ""fasting_glucose"", ""age"", ""waist"", ""bmi"", ""hdl_cholesterol"", ""total_cholesterol"", ""education""]",8,0.30566407948226615,0.7375,2,1.0,0
nhanes,3,LightGBM Gain,"[""age"", ""income_ratio"", ""sedentary_minutes"", ""total_cholesterol"", ""hba1c"", ""waist"", ""diastolic_bp"", ""bmi""]",8,0.18895220197979806,0.7333333333333334,1,0.5,0
nhanes,3,Permutation Importance,"[""hba1c"", ""fasting_glucose"", ""age"", ""prediabetes_told"", ""total_cholesterol"", ""sedentary_minutes"", ""diastolic_bp"", ""bmi""]",8,0.3107422429663928,0.7625,2,1.0,0
nhanes,3,SHAP Ranking,"[""hba1c"", ""age"", ""fasting_glucose"", ""prediabetes_told"", ""total_cholesterol"", ""waist"", ""diastolic_bp"", ""bmi""]",8,0.32327528119765686,0.775,2,1.0,0
nhanes,3,PSEUL-Select,"[""age"", ""bmi"", ""prediabetes_told"", ""waist"", ""sedentary_minutes"", ""total_cholesterol"", ""diastolic_bp"", ""income_ratio""]",8,0.10790345034536034,0.7270833333333333,0,0.0,0
nhanes,3,PSEUL-Audit,"[""hba1c"", ""fasting_glucose"", ""age"", ""prediabetes_told"", ""bmi"", ""waist"", ""weight"", ""sedentary_minutes""]",8,0.32349022590100496,0.7937500000000001,2,1.0,0
nhanes,3,PSEUL-Auto (neutral metadata),"[""hba1c"", ""prediabetes_told"", ""age"", ""fasting_glucose"", ""race_ethnicity"", ""sedentary_minutes"", ""sex_male"", ""income_ratio""]",8,0.29204640885838246,0.7041666666666667,2,1.0,0
nhanes,3,Oracle Trap Exclusion + SHAP,"[""age"", ""waist"", ""total_cholesterol"", ""prediabetes_told"", ""systolic_bp"", ""bmi"", ""education"", ""hdl_cholesterol""]",8,0.12445443294151812,0.7166666666666667,0,0.0,0
nhanes,3,Gaussian Knockoff Proxy,[],0,,,0,0.0,0
nhanes,3,SHAP Regression Proxy,"[""sedentary_minutes"", ""prediabetes_told"", ""hba1c"", ""fasting_glucose""]",4,0.532809145423844,0.7916666666666667,2,1.0,0
nhanes,3,GRASP-inspired Proxy,"[""hba1c"", ""fasting_glucose"", ""income_ratio"", ""age"", ""total_cholesterol"", ""sedentary_minutes"", ""prediabetes_told"", ""waist""]",8,0.3157355514309616,0.7416666666666667,2,1.0,0
nhanes,4,All Features,"[""age"", ""sex_male"", ""race_ethnicity"", ""education"", ""income_ratio"", ""bmi"", ""waist"", ""weight"", ""systolic_bp"", ""diastolic_bp"", ""total_cholesterol"", ""hdl_cholesterol"", ""sedentary_minutes"", ""ever_smoked"", ""prediabetes_told"", ""hba1c"", ""fasting_glucose""]",17,0.17980609582609272,0.7009803921568628,2,1.0,0
nhanes,4,Mutual Information,"[""hba1c"", ""fasting_glucose"", ""age"", ""waist"", ""bmi"", ""education"", ""total_cholesterol"", ""diastolic_bp""]",8,0.29454433588283485,0.7395833333333334,2,1.0,0
nhanes,4,LightGBM Gain,"[""income_ratio"", ""age"", ""sedentary_minutes"", ""total_cholesterol"", ""diastolic_bp"", ""hba1c"", ""systolic_bp"", ""waist""]",8,0.18184766128618424,0.7145833333333333,1,0.5,0
nhanes,4,Permutation Importance,"[""hba1c"", ""fasting_glucose"", ""prediabetes_told"", ""age"", ""total_cholesterol"", ""waist"", ""sedentary_minutes"", ""education""]",8,0.3160419558959413,0.7333333333333334,2,1.0,0
nhanes,4,SHAP Ranking,"[""hba1c"", ""fasting_glucose"", ""age"", ""prediabetes_told"", ""total_cholesterol"", ""waist"", ""diastolic_bp"", ""bmi""]",8,0.32218860943822747,0.775,2,1.0,0
nhanes,4,PSEUL-Select,"[""age"", ""prediabetes_told"", ""bmi"", ""sedentary_minutes"", ""race_ethnicity"", ""waist"", ""total_cholesterol"", ""systolic_bp""]",8,0.10547419876180117,0.7333333333333334,0,0.0,0
nhanes,4,PSEUL-Audit,"[""hba1c"", ""fasting_glucose"", ""age"", ""prediabetes_told"", ""bmi"", ""waist"", ""weight"", ""sedentary_minutes""]",8,0.32013653321154245,0.7937500000000001,2,1.0,0
nhanes,4,PSEUL-Auto (neutral metadata),"[""hba1c"", ""fasting_glucose"", ""prediabetes_told"", ""age"", ""race_ethnicity"", ""sedentary_minutes"", ""sex_male"", ""income_ratio""]",8,0.2905459720096615,0.7041666666666667,2,1.0,0
nhanes,4,Oracle Trap Exclusion + SHAP,"[""age"", ""waist"", ""bmi"", ""total_cholesterol"", ""prediabetes_told"", ""race_ethnicity"", ""hdl_cholesterol"", ""systolic_bp""]",8,0.11423158149603393,0.7270833333333333,0,0.0,0
nhanes,4,Gaussian Knockoff Proxy,[],0,,,0,0.0,0
nhanes,4,SHAP Regression Proxy,"[""education"", ""diastolic_bp"", ""total_cholesterol"", ""sedentary_minutes"", ""hba1c"", ""fasting_glucose""]",6,0.33900585446987236,0.7027777777777778,2,1.0,0
nhanes,4,GRASP-inspired Proxy,"[""hba1c"", ""fasting_glucose"", ""income_ratio"", ""age"", ""total_cholesterol"", ""systolic_bp"", ""prediabetes_told"", ""waist""]",8,0.3186237879966235,0.7416666666666667,2,1.0,0
nhanes,5,All Features,"[""age"", ""sex_male"", ""race_ethnicity"", ""education"", ""income_ratio"", ""bmi"", ""waist"", ""weight"", ""systolic_bp"", ""diastolic_bp"", ""total_cholesterol"", ""hdl_cholesterol"", ""sedentary_minutes"", ""ever_smoked"", ""prediabetes_told"", ""hba1c"", ""fasting_glucose""]",17,0.1845726396339861,0.7009803921568628,2,1.0,0
nhanes,5,Mutual Information,"[""hba1c"", ""fasting_glucose"", ""age"", ""waist"", ""total_cholesterol"", ""bmi"", ""weight"", ""education""]",8,0.30628257633843203,0.75,2,1.0,0
nhanes,5,LightGBM Gain,"[""income_ratio"", ""age"", ""total_cholesterol"", ""hba1c"", ""diastolic_bp"", ""sedentary_minutes"", ""waist"", ""systolic_bp""]",8,0.18570421454053382,0.7145833333333333,1,0.5,0
nhanes,5,Permutation Importance,"[""hba1c"", ""fasting_glucose"", ""age"", ""prediabetes_told"", ""total_cholesterol"", ""waist"", ""diastolic_bp"", ""hdl_cholesterol""]",8,0.3233178115862194,0.75,2,1.0,0
nhanes,5,SHAP Ranking,"[""hba1c"", ""fasting_glucose"", ""prediabetes_told"", ""age"", ""total_cholesterol"", ""waist"", ""bmi"", ""diastolic_bp""]",8,0.32527378464844703,0.775,2,1.0,0
nhanes,5,PSEUL-Select,"[""age"", ""bmi"", ""prediabetes_told"", ""total_cholesterol"", ""systolic_bp"", ""sedentary_minutes"", ""waist"", ""weight""]",8,0.12279024273234937,0.7562500000000001,0,0.0,0
nhanes,5,PSEUL-Audit,"[""hba1c"", ""fasting_glucose"", ""prediabetes_told"", ""age"", ""bmi"", ""waist"", ""weight"", ""systolic_bp""]",8,0.3311959911107027,0.7937500000000001,2,1.0,0
