method,mean_pairwise_jaccard,min_pairwise_jaccard,n_outer_folds
All Features,1.0,1.0,5
GRASP-inspired Proxy,0.8444444444444444,0.7777777777777778,5
Gaussian Knockoff Proxy,1.0,1.0,5
LightGBM Gain,0.8444444444444443,0.7777777777777778,5
Mutual Information,0.6888888888888889,0.6,5
Oracle Trap Exclusion + SHAP,0.7822222222222222,0.6,5
PSEUL-Audit,0.8222222222222222,0.7777777777777778,5
PSEUL-Auto (neutral metadata),0.711111111111111,0.6,5
PSEUL-Select,0.6565656565656565,0.45454545454545453,5
Permutation Importance,0.7066666666666667,0.6,5
SHAP Ranking,0.7911111111111111,0.6,5
SHAP Regression Proxy,0.5014285714285714,0.2857142857142857,5
