variant,learner,auc,average_precision,mcc,accuracy,balanced_accuracy,f1_weighted,brier,sensitivity,specificity,ppv,npv,mean_selected_features,mean_designated_traps_selected,mean_pairwise_jaccard
Reference,LightGBM,0.7917892571954829,0.4287868173903712,0.2927047483908246,0.8398462524023063,0.6049577860574813,0.814641356405664,0.11776435768637025,0.2523992322456814,0.9575163398692811,0.5433884297520661,0.8647569444444444,8.0,0.0,0.7511111111111111
Reference,Logistic regression,0.7821598587875178,0.4170353799206025,0.23696283270569476,0.8409673286354901,0.5626528922509503,0.7981258413939153,0.1175967132619691,0.14491362763915547,0.9803921568627451,0.5968379446640316,0.8512769153730596,8.0,0.0,0.7511111111111111
Score floor 0.10,LightGBM,0.7917892571954829,0.4287868173903712,0.2927047483908246,0.8398462524023063,0.6049577860574813,0.814641356405664,0.11776435768637025,0.2523992322456814,0.9575163398692811,0.5433884297520661,0.8647569444444444,8.0,0.0,0.7511111111111111
Score floor 0.10,Logistic regression,0.7821598587875178,0.4170353799206025,0.23696283270569476,0.8409673286354901,0.5626528922509503,0.7981258413939153,0.1175967132619691,0.14491362763915547,0.9803921568627451,0.5968379446640316,0.8512769153730596,8.0,0.0,0.7511111111111111
Score floor 0.30,LightGBM,0.7917892571954829,0.4287868173903712,0.2927047483908246,0.8398462524023063,0.6049577860574813,0.814641356405664,0.11776435768637025,0.2523992322456814,0.9575163398692811,0.5433884297520661,0.8647569444444444,8.0,0.0,0.7511111111111111
Score floor 0.30,Logistic regression,0.7821598587875178,0.4170353799206025,0.23696283270569476,0.8409673286354901,0.5626528922509503,0.7981258413939153,0.1175967132619691,0.14491362763915547,0.9803921568627451,0.5968379446640316,0.8512769153730596,8.0,0.0,0.7511111111111111
Semantic veto 0.75,LightGBM,0.7917892571954829,0.4287868173903712,0.2927047483908246,0.8398462524023063,0.6049577860574813,0.814641356405664,0.11776435768637025,0.2523992322456814,0.9575163398692811,0.5433884297520661,0.8647569444444444,8.0,0.0,0.7511111111111111
Semantic veto 0.75,Logistic regression,0.7821598587875178,0.4170353799206025,0.23696283270569476,0.8409673286354901,0.5626528922509503,0.7981258413939153,0.1175967132619691,0.14491362763915547,0.9803921568627451,0.5968379446640316,0.8512769153730596,8.0,0.0,0.7511111111111111
Semantic veto 0.95,LightGBM,0.7917892571954829,0.4287868173903712,0.2927047483908246,0.8398462524023063,0.6049577860574813,0.814641356405664,0.11776435768637025,0.2523992322456814,0.9575163398692811,0.5433884297520661,0.8647569444444444,8.0,0.0,0.7511111111111111
Semantic veto 0.95,Logistic regression,0.7821598587875178,0.4170353799206025,0.23696283270569476,0.8409673286354901,0.5626528922509503,0.7981258413939153,0.1175967132619691,0.14491362763915547,0.9803921568627451,0.5968379446640316,0.8512769153730596,8.0,0.0,0.7511111111111111
Top-k ceiling 5,LightGBM,0.7705453977910459,0.3933804276922918,0.22358097931331625,0.8316784112748238,0.5728110257312815,0.7985571227100711,0.12194827418644574,0.18426103646833014,0.961361014994233,0.48854961832061067,0.8547256879165954,5.0,0.0,0.6714285714285715
Top-k ceiling 5,Logistic regression,0.7688358641036482,0.3927706311295217,0.19777864462663697,0.8379244074311338,0.5462449478681239,0.7886404402960283,0.12019692917990464,0.10844529750479846,0.9840445982314494,0.576530612244898,0.8463955026455027,5.0,0.0,0.6714285714285715
Without SHAP stability S,LightGBM,0.7965683507229244,0.42909744552043627,0.2772073808939005,0.8364830237027546,0.5998694950487816,0.8110780607216546,0.11743247818414469,0.24472168905950095,0.9550173010380623,0.5214723926380368,0.863249348392702,8.0,0.0,1.0
Without SHAP stability S,Logistic regression,0.7804986602672381,0.4112023110449199,0.22589580405137658,0.8396860986547086,0.5588141206578601,0.7957508509521203,0.11800706462476138,0.13723608445297505,0.9803921568627451,0.5836734693877551,0.8501416902817136,8.0,0.0,1.0
Without clinical utility U,LightGBM,0.7929539133405799,0.4336232700990095,0.29744556835825237,0.840486867392697,0.6072609014250387,0.8157679176424273,0.11749664186304995,0.2571976967370441,0.9573241061130334,0.5469387755102041,0.8654848800834203,8.0,0.0,0.6141414141414141
Without clinical utility U,Logistic regression,0.7839477987574541,0.4192903117817733,0.23226818134822586,0.8390454836643177,0.5645693262815645,0.7982396159262699,0.11745059626020392,0.15259117082533588,0.9765474817377932,0.5658362989323843,0.8519201744088546,8.0,0.0,0.6141414141414141
