study,reference,comparator,metric,delta_reference_minus_comparator,ci_low,ci_high,probability_delta_gt_zero,two_sided_bootstrap_p,bootstrap_replicates,inference_method,holm_adjusted_p
adherence,PSEUL-Select,All Features,auc,-0.0644330661297123,-0.0685018098406615,-0.0603643224187631,8.08601165753502e-212,1.617202331507004e-211,0,paired DeLong,1.4554820983563037e-210
adherence,PSEUL-Select,All Features,mcc,-0.1322395099211782,-0.1434378725116491,-0.1206859386636451,0.0,0.000999500249875,2000,paired stratified multinomial bootstrap,0.0099950024987506
adherence,PSEUL-Select,Availability Gate + SHAP,auc,-0.063849712733337,-0.0679539732719359,-0.0597454521947381,1.6842354512521567e-204,3.368470902504313e-204,0,paired DeLong,2.0210825415025877e-203
adherence,PSEUL-Select,Availability Gate + SHAP,mcc,-0.1331596465253916,-0.1439349665677049,-0.1220028706252768,0.0,0.000999500249875,2000,paired stratified multinomial bootstrap,0.0099950024987506
adherence,PSEUL-Select,LightGBM Gain,auc,-0.0555046861673635,-0.0599378590234135,-0.0510715133113136,2.7787004855637312e-133,5.5574009711274624e-133,0,paired DeLong,1.6672202913382387e-132
adherence,PSEUL-Select,LightGBM Gain,mcc,-0.1285092605748016,-0.140205256720392,-0.1169352840698687,0.0,0.000999500249875,2000,paired stratified multinomial bootstrap,0.0099950024987506
adherence,PSEUL-Select,Mutual Information,auc,-0.0548160866638123,-0.0593040337251018,-0.0503281396025228,5.9331468355487275e-127,1.1866293671097455e-126,0,paired DeLong,2.3732587342194913e-126
adherence,PSEUL-Select,Mutual Information,mcc,-0.1274067719532263,-0.1387096174894459,-0.1155378222438748,0.0,0.000999500249875,2000,paired stratified multinomial bootstrap,0.0099950024987506
adherence,PSEUL-Select,Oracle Trap Exclusion + SHAP,auc,0.1822291964865372,0.1743197929768503,0.1901385999962241,1.0,0.0,0,paired DeLong,0.0
adherence,PSEUL-Select,Oracle Trap Exclusion + SHAP,mcc,0.3141294210321306,0.2980234127917874,0.3310177493016452,1.0,0.000999500249875,2000,paired stratified multinomial bootstrap,0.0099950024987506
adherence,PSEUL-Select,PSEUL-Audit,auc,-0.0631303271443783,-0.0672307106844608,-0.0590299436042959,2.4054675964013272e-200,4.8109351928026545e-200,0,paired DeLong,1.9243740771210618e-199
adherence,PSEUL-Select,PSEUL-Audit,mcc,-0.1335117246013942,-0.1456241513651391,-0.1220920576730519,0.0,0.000999500249875,2000,paired stratified multinomial bootstrap,0.0099950024987506
adherence,PSEUL-Select,PSEUL-Auto (leakage metadata null),auc,-0.0639618544299001,-0.0680365233425003,-0.0598871855172998,3.625181028667091e-208,7.250362057334182e-208,0,paired DeLong,5.8002896458673454e-207
adherence,PSEUL-Select,PSEUL-Auto (leakage metadata null),mcc,-0.134070646910883,-0.1455710270606618,-0.1230654154532967,0.0,0.000999500249875,2000,paired stratified multinomial bootstrap,0.0099950024987506
adherence,PSEUL-Select,Permutation Importance,auc,-0.0639618544299001,-0.0680365233425003,-0.0598871855172998,3.625181028667091e-208,7.250362057334182e-208,0,paired DeLong,5.8002896458673454e-207
adherence,PSEUL-Select,Permutation Importance,mcc,-0.1338770687411342,-0.1448910382582097,-0.1228339860597971,0.0,0.000999500249875,2000,paired stratified multinomial bootstrap,0.0099950024987506
adherence,PSEUL-Select,SHAP Ranking,auc,-0.063849712733337,-0.0679539732719359,-0.0597454521947381,1.6842354512521567e-204,3.368470902504313e-204,0,paired DeLong,2.0210825415025877e-203
adherence,PSEUL-Select,SHAP Ranking,mcc,-0.1331940542678031,-0.1449700368934349,-0.1218091649498836,0.0,0.000999500249875,2000,paired stratified multinomial bootstrap,0.0099950024987506
adherence,PSEUL-Select,Semantic Veto + SHAP,auc,-0.0003640411116274,-0.0016872746987422,0.0009591924754873,0.294865819680682,0.5897316393613641,0,paired DeLong,0.5897316393613641
