study,method,auc,average_precision,mcc,brier,calibration_intercept,calibration_slope,sensitivity,specificity,ppv,npv
adherence,All Features,0.901,0.817,0.639,0.122,0.01,0.973,0.853,0.798,0.739,0.89
adherence,Availability Gate + SHAP,0.9,0.816,0.64,0.122,0.01,0.964,0.854,0.798,0.739,0.89
adherence,LightGBM Gain,0.892,0.79,0.636,0.126,0.016,0.963,0.864,0.784,0.728,0.896
adherence,Mutual Information,0.891,0.792,0.635,0.126,0.014,0.959,0.864,0.782,0.727,0.896
adherence,Oracle Trap Exclusion + SHAP,0.654,0.529,0.193,0.224,-0.058,0.829,0.396,0.783,0.551,0.659
adherence,PSEUL-Audit,0.9,0.814,0.641,0.123,0.015,0.958,0.854,0.798,0.739,0.891
adherence,PSEUL-Auto (leakage metadata null),0.9,0.816,0.641,0.122,0.014,0.961,0.853,0.799,0.74,0.89
adherence,PSEUL-Select,0.837,0.721,0.507,0.16,0.005,0.92,0.777,0.739,0.667,0.832
adherence,Permutation Importance,0.9,0.816,0.641,0.122,0.014,0.961,0.853,0.799,0.74,0.89
adherence,SHAP Ranking,0.9,0.816,0.64,0.122,0.01,0.964,0.854,0.798,0.739,0.89
adherence,Semantic Veto + SHAP,0.837,0.722,0.508,0.16,0.005,0.921,0.775,0.742,0.668,0.831
nhanes,All Features,0.947,0.868,0.761,0.05,-0.245,0.663,0.677,0.99,0.93,0.939
nhanes,Availability Gate + SHAP,0.946,0.863,0.761,0.05,-0.3,0.675,0.665,0.992,0.945,0.937
nhanes,LightGBM Gain,0.921,0.824,0.718,0.059,-0.324,0.684,0.616,0.99,0.924,0.928
nhanes,Mutual Information,0.932,0.845,0.759,0.052,-0.367,0.663,0.653,0.994,0.956,0.935
nhanes,Oracle Trap Exclusion + SHAP,0.793,0.423,0.27,0.119,-0.301,0.679,0.233,0.957,0.52,0.862
nhanes,PSEUL-Audit,0.942,0.86,0.764,0.051,-0.329,0.675,0.664,0.993,0.951,0.937
nhanes,PSEUL-Auto (leakage metadata null),0.947,0.866,0.765,0.05,-0.31,0.687,0.67,0.992,0.946,0.938
nhanes,PSEUL-Select,0.793,0.435,0.302,0.117,-0.293,0.694,0.256,0.959,0.557,0.866
nhanes,Permutation Importance,0.947,0.867,0.765,0.05,-0.32,0.677,0.674,0.992,0.942,0.938
nhanes,SHAP Ranking,0.946,0.863,0.761,0.05,-0.3,0.675,0.665,0.992,0.945,0.937
nhanes,Semantic Veto + SHAP,0.79,0.424,0.273,0.119,-0.292,0.687,0.228,0.96,0.535,0.861
brfss,All Features,1.0,1.0,1.0,0.0,-0.061,1.031,1.0,1.0,1.0,1.0
brfss,Availability Gate + SHAP,1.0,1.0,1.0,0.0,-0.061,1.03,1.0,1.0,1.0,1.0
brfss,LightGBM Gain,0.998,0.994,0.991,0.002,-0.461,0.802,0.985,1.0,0.999,0.997
brfss,Mutual Information,1.0,1.0,1.0,0.0,-0.061,1.03,1.0,1.0,1.0,1.0
brfss,Oracle Trap Exclusion + SHAP,0.803,0.395,0.213,0.104,-0.083,0.933,0.119,0.985,0.568,0.868
brfss,PSEUL-Audit,1.0,1.0,1.0,0.0,-0.061,1.031,1.0,1.0,1.0,1.0
brfss,PSEUL-Auto (leakage metadata null),1.0,1.0,1.0,0.0,-0.059,1.111,1.0,1.0,1.0,1.0
brfss,PSEUL-Select,0.793,0.384,0.21,0.106,-0.092,0.931,0.114,0.986,0.575,0.868
brfss,Permutation Importance,1.0,1.0,1.0,0.0,-0.061,1.031,1.0,1.0,1.0,1.0
