study,tau_v,n_vetoed,traps_vetoed,n_traps,non_traps_vetoed,vetoed_non_traps,traps_still_admissible
adherence,0.6,2,2,2,0,none,none
adherence,0.7,2,2,2,0,none,none
adherence,0.75,2,2,2,0,none,none
adherence,0.8,1,1,2,0,none,ANNUALCLAIMAMOUNT
adherence,0.85,1,1,2,0,none,ANNUALCLAIMAMOUNT
adherence,0.9,1,1,2,0,none,ANNUALCLAIMAMOUNT
adherence,0.95,0,0,2,0,none,"ANNUALCLAIMAMOUNT, UNITSTOTAL"
nhanes,0.6,3,2,2,1,prediabetes_told,none
nhanes,0.7,2,2,2,0,none,none
nhanes,0.75,2,2,2,0,none,none
nhanes,0.8,2,2,2,0,none,none
nhanes,0.85,2,2,2,0,none,none
nhanes,0.9,2,2,2,0,none,none
nhanes,0.95,2,2,2,0,none,none
brfss,0.6,4,4,4,0,none,none
brfss,0.7,4,4,4,0,none,none
brfss,0.75,4,4,4,0,none,none
brfss,0.8,4,4,4,0,none,none
brfss,0.85,4,4,4,0,none,none
brfss,0.9,4,4,4,0,none,none
brfss,0.95,4,4,4,0,none,none
diabetes130_admission,0.6,11,11,11,0,none,none
diabetes130_admission,0.7,11,11,11,0,none,none
diabetes130_admission,0.75,11,11,11,0,none,none
diabetes130_admission,0.8,11,11,11,0,none,none
diabetes130_admission,0.85,11,11,11,0,none,none
diabetes130_admission,0.9,0,0,11,0,none,"a1c_ordinal, change_flag, diabetesMed_flag, discharge_disposition_id, insulin_ordinal, max_glu_ordinal, num_lab_procedures, num_medications, num_procedures, number_diagnoses, time_in_hospital"
diabetes130_admission,0.95,0,0,11,0,none,"a1c_ordinal, change_flag, diabetesMed_flag, discharge_disposition_id, insulin_ordinal, max_glu_ordinal, num_lab_procedures, num_medications, num_procedures, number_diagnoses, time_in_hospital"
diabetes130_discharge,0.6,0,0,0,0,none,none
diabetes130_discharge,0.7,0,0,0,0,none,none
diabetes130_discharge,0.75,0,0,0,0,none,none
diabetes130_discharge,0.8,0,0,0,0,none,none
diabetes130_discharge,0.85,0,0,0,0,none,none
diabetes130_discharge,0.9,0,0,0,0,none,none
diabetes130_discharge,0.95,0,0,0,0,none,none
